invoice_id,order_id,invoice_number,invoice_date,due_date,customer_id,taxable_value,igst,cgst,sgst,total_tax,invoice_amount,status,created_at
INV13001,B2BORD4001,INV-200000,2025-11-15 04:54:38,2025-11-22 04:54:38,CUST1001,44741.68,0,1118.54,1118.54,2237.08,46978.76,ISSUED,2025-11-15 04:54:38
INV13002,B2BORD4002,INV-200001,2025-10-18 20:21:35,2025-10-25 20:21:35,CUST1002,33876.37,0,846.91,846.91,1693.82,35570.19,OVERDUE,2025-10-18 20:21:35
INV13003,B2BORD4003,INV-200002,2025-10-28 05:03:32,2025-11-27 05:03:32,CUST1003,55070.52,0,1376.77,1376.77,2753.53,57824.05,PAID,2025-10-28 05:03:32
INV13004,B2BORD4004,INV-200003,2025-11-14 19:38:15,2025-11-29 19:38:15,CUST1004,57870.68,0,1446.77,1446.77,2893.53,60764.21,PAID,2025-11-14 19:38:15
INV13005,B2BORD4005,INV-200004,2025-11-13 13:41:45,2025-11-20 13:41:45,CUST1005,37169.08,0,929.23,929.23,1858.45,39027.53,ISSUED,2025-11-13 13:41:45
INV13006,B2BORD4006,INV-200005,2025-11-16 06:22:22,2025-12-01 06:22:22,CUST1006,55923.4,0,1398.09,1398.09,2796.17,58719.57,OVERDUE,2025-11-16 06:22:22
INV13007,B2BORD4007,INV-200006,2025-11-09 16:06:24,2025-11-16 16:06:24,CUST1007,17144.24,0,428.61,428.61,857.21,18001.45,PAID,2025-11-09 16:06:24
INV13008,B2BORD4008,INV-200007,2025-10-15 14:14:32,2025-11-14 14:14:32,CUST1008,8174.97,0,204.38,204.38,408.75,8583.720000000001,ISSUED,2025-10-15 14:14:32
INV13009,B2BORD4009,INV-200008,2025-10-19 15:21:57,2025-11-18 15:21:57,CUST1009,19066.61,0,476.67,476.67,953.33,20019.94,ISSUED,2025-10-19 15:21:57
INV13010,B2BORD4010,INV-200009,2025-11-12 03:13:14,2025-12-12 03:13:14,CUST1010,57489.14,0,1437.23,1437.23,2874.46,60363.6,OVERDUE,2025-11-12 03:13:14
INV13011,B2BORD4011,INV-200010,2025-11-19 04:08:25,2025-12-19 04:08:25,CUST1011,16508.21,0,412.7,412.7,825.41,17333.62,PAID,2025-11-19 04:08:25
INV13012,B2BORD4012,INV-200011,2025-11-10 05:46:28,2025-11-25 05:46:28,CUST1012,34663.78,0,866.6,866.6,1733.19,36396.97,ISSUED,2025-11-10 05:46:28
INV13013,B2BORD4013,INV-200012,2025-10-10 13:31:21,2025-10-25 13:31:21,CUST1013,57751.85,0,1443.8,1443.8,2887.59,60639.44,PAID,2025-10-10 13:31:21
INV13014,B2BORD4014,INV-200013,2025-11-20 06:10:43,2025-12-20 06:10:43,CUST1014,28721.79,0,718.04,718.04,1436.09,30157.88,OVERDUE,2025-11-20 06:10:43
INV13015,B2BORD4015,INV-200014,2025-11-01 22:03:33,2025-11-08 22:03:33,CUST1015,29954.27,0,748.86,748.86,1497.71,31451.98,PAID,2025-11-01 22:03:33
INV13016,B2BORD4016,INV-200015,2025-11-15 03:09:22,2025-11-22 03:09:22,CUST1016,24195.05,0,604.88,604.88,1209.75,25404.8,ISSUED,2025-11-15 03:09:22
INV13017,B2BORD4017,INV-200016,2025-11-29 11:36:47,2025-12-29 11:36:47,CUST1017,42668.21,0,1066.7,1066.7,2133.41,44801.62,PAID,2025-11-29 11:36:47
INV13018,B2BORD4018,INV-200017,2025-10-04 13:02:01,2025-10-19 13:02:01,CUST1018,57415.85,0,1435.39,1435.39,2870.79,60286.64,OVERDUE,2025-10-04 13:02:01
INV13019,B2BORD4019,INV-200018,2025-10-30 07:59:22,2025-11-29 07:59:22,CUST1019,2563.95,0,64.1,64.1,128.2,2692.15,PAID,2025-10-30 07:59:22
