snapshot_id,centre_id,date,total_orders,total_kg,gross_sales,returns_kg,wastage_kg,avg_delivery_time_min,on_time_pct,created_at,notes
SNAP18001,CTR_VDR_001,2025-11-01,12,4016.92,432387.07,68.57,8.44,104,87.27,2025-11-30 12:07:51,
SNAP18002,CTR_VDR_001,2025-11-12,49,4968.57,387480.22,47.59,44.02,115,76.11,2025-11-17 09:25:15,
SNAP18003,CTR_AHD_001,2025-10-18,42,1395.54,411570.19,10.5,46.4,273,78.74,2025-11-17 12:15:50,
SNAP18004,CTR_SUR_001,2025-09-24,25,3449.2,201134.54,52.53,53.04,252,70.34,2025-11-13 02:01:23,
SNAP18005,CTR_VDR_001,2025-10-05,44,1646.87,269824.18,191.17,9.74,211,97.73,2025-11-29 05:53:55,
SNAP18006,CTR_RJT_001,2025-10-07,22,1424.6,403135.02,51.07,58.42,266,92.42,2025-11-26 10:38:49,
SNAP18007,CTR_SUR_001,2025-11-01,34,1753.29,348236.38,35.98,54.76,34,94.12,2025-11-28 23:25:32,
SNAP18008,CTR_VDR_001,2025-11-30,7,2673.79,345894.78,70.3,72.53,158,75.6,2025-11-25 11:29:27,
SNAP18009,CTR_AHD_001,2025-11-28,4,4698.68,331736.7,167.09,95.05,92,90.53,2025-11-05 18:50:20,
SNAP18010,CTR_AHD_001,2025-11-16,39,736.55,331633.37,179.98,56.61,124,95.98,2025-11-24 14:32:03,
SNAP18011,CTR_SUR_001,2025-09-03,17,1543.39,333634.14,15.14,45.34,171,92.31,2025-11-05 17:07:02,
SNAP18012,CTR_RJT_001,2025-09-04,17,893.63,46258.56,155.42,38.28,200,98.88,2025-11-13 14:29:30,
SNAP18013,CTR_RJT_001,2025-10-29,12,2258.82,250943.68,185.72,61.03,121,88.72,2025-11-18 02:28:08,
SNAP18014,CTR_SUR_001,2025-11-18,35,3866.67,117009.38,128.67,91.26,162,73.0,2025-12-01 22:24:53,
SNAP18015,CTR_AHD_001,2025-11-22,37,3664.97,390846.21,3.75,49.77,30,97.05,2025-11-12 20:44:56,
SNAP18016,CTR_VDR_001,2025-09-07,18,842.88,171617.13,78.27,0.37,281,83.87,2025-11-19 07:27:32,
SNAP18017,CTR_AHD_001,2025-10-11,35,1206.65,198367.7,137.85,77.98,92,86.45,2025-11-27 07:39:01,
SNAP18018,CTR_RJT_001,2025-10-17,44,1583.86,37045.39,199.4,64.71,217,85.5,2025-11-30 18:20:52,
SNAP18019,CTR_AHD_001,2025-10-19,30,3826.22,152079.75,40.62,55.45,226,89.16,2025-11-06 11:02:36,
SNAP18020,CTR_VDR_001,2025-10-24,7,3190.02,186037.95,16.97,63.28,127,74.06,2025-11-05 03:05:52,
SNAP18021,CTR_AHD_001,2025-11-07,47,4982.28,126857.71,77.75,79.27,187,84.49,2025-11-19 08:56:38,
SNAP18022,CTR_AHD_001,2025-10-05,3,1762.5,175482.12,144.2,40.55,138,93.41,2025-11-15 21:58:45,
SNAP18023,CTR_VDR_001,2025-09-07,44,4363.98,272915.08,148.21,23.3,66,71.07,2025-11-28 12:47:52,
SNAP18024,CTR_VDR_001,2025-11-13,42,193.41,454517.65,123.67,24.27,96,70.42,2025-11-10 20:13:37,
SNAP18025,CTR_AHD_001,2025-09-12,20,4121.62,57673.2,122.25,83.54,62,93.72,2025-11-18 10:47:09,
SNAP18026,CTR_AHD_001,2025-11-18,32,3015.39,311657.98,12.62,20.26,202,93.53,2025-11-23 10:07:00,
SNAP18027,CTR_VDR_001,2025-09-06,21,691.93,345203.31,109.18,32.16,139,92.16,2025-11-10 02:41:09,
SNAP18028,CTR_SUR_001,2025-09-17,22,409.79,144207.75,151.51,16.81,219,86.05,2025-11-25 21:10:32,
SNAP18029,CTR_SUR_001,2025-10-06,38,299.42,58984.25,169.47,61.24,110,70.45,2025-11-12 17:27:19,
SNAP18030,CTR_AHD_001,2025-09-30,1,135.4,463807.11,141.35,59.37,175,82.07,2025-12-02 01:08:39,
SNAP18031,CTR_SUR_001,2025-10-02,14,801.13,142765.38,90.08,23.93,119,87.71,2025-11-22 23:59:37,
SNAP18032,CTR_SUR_001,2025-11-27,46,2549.45,475646.05,125.44,78.26,208,82.14,2025-11-16 00:19:39,
SNAP18033,CTR_SUR_001,2025-09-21,13,675.79,269797.52,19.14,36.19,289,76.36,2025-11-12 01:21:24,
SNAP18034,CTR_SUR_001,2025-09-12,18,360.04,65212.77,29.84,84.38,272,84.43,2025-11-12 04:50:38,
SNAP18035,CTR_AHD_001,2025-11-11,4,3259.82,149681.61,86.93,33.43,262,71.26,2025-11-08 10:37:40,
SNAP18036,CTR_SUR_001,2025-11-25,11,3948.91,247680.08,23.21,89.51,257,87.19,2025-11-23 06:54:13,
SNAP18037,CTR_VDR_001,2025-10-21,13,3760.73,450202.65,46.01,11.01,146,72.84,2025-11-06 09:26:12,
SNAP18038,CTR_SUR_001,2025-10-10,25,4467.69,46029.56,117.02,5.43,253,74.2,2025-11-09 21:02:41,
SNAP18039,CTR_VDR_001,2025-09-14,12,1997.92,76838.26,143.96,63.2,168,75.86,2025-11-02 09:36:36,
SNAP18040,CTR_AHD_001,2025-11-15,45,2886.46,147496.04,22.22,46.55,244,74.96,2025-12-01 11:48:26,
SNAP18041,CTR_SUR_001,2025-10-19,19,3057.82,396878.01,127.6,61.15,117,86.77,2025-12-02 07:31:19,
SNAP18042,CTR_SUR_001,2025-09-22,6,2117.31,265666.7,172.44,21.64,272,94.27,2025-11-09 05:53:22,
SNAP18043,CTR_AHD_001,2025-10-27,47,2197.74,437573.25,49.57,43.42,143,95.86,2025-11-29 01:28:02,
SNAP18044,CTR_SUR_001,2025-09-17,37,4501.43,214708.21,8.84,99.13,288,70.97,2025-11-22 19:31:47,
SNAP18045,CTR_VDR_001,2025-09-25,31,4067.61,351360.22,19.6,49.53,72,86.2,2025-11-28 06:59:28,
SNAP18046,CTR_VDR_001,2025-11-30,14,750.29,154937.31,129.53,9.07,275,89.4,2025-11-25 11:32:48,
SNAP18047,CTR_VDR_001,2025-11-11,37,3761.7,21962.6,90.97,77.18,237,75.36,2025-11-29 11:54:40,
SNAP18048,CTR_VDR_001,2025-10-15,46,3203.67,431587.5,14.14,89.34,200,85.4,2025-11-16 15:03:07,
SNAP18049,CTR_VDR_001,2025-10-25,49,1421.97,473586.79,108.49,79.45,71,87.99,2025-11-09 19:50:10,
SNAP18050,CTR_AHD_001,2025-10-20,33,4732.08,340579.95,177.6,11.1,217,83.5,2025-11-25 07:26:08,
