order_line_id,order_id,sku,item_description,qty_units,qty_kg,unit_price,line_total,allocation_id,promised_by,warehouse_allocated_id,batch_id,created_at,remarks
B2BOL5001,B2BORD4001,LIM008,Lemon - Khatta (500g),24,12.0,101.62,2438.88,ALLOC9033,2025-11-28 19:41:06,CTR_VDR_001,CON3030,2025-10-15 17:19:41,Prewashed
B2BOL5002,B2BORD4001,TOM001,Tomato - Local (1kg),153,153.0,103.23,15794.19,ALLOC9020,2025-11-30 00:25:27,CTR_AHD_001,CON3026,2025-09-04 18:08:39,Bulk crate
B2BOL5003,B2BORD4001,TOM001,Tomato - Local (1kg),200,200.0,59.22,11844.0,ALLOC9005,2025-11-30 10:08:50,CTR_AHD_001,CON3028,2025-10-30 05:14:38,Bulk crate
B2BOL5002,B2BORD4002,POT002,Potato - Jyoti (1kg),148,148.0,198.94,29443.12,ALLOC9005,2025-11-30 18:52:54,CTR_VDR_001,CON3003,2025-09-24 09:22:06,Bulk crate
B2BOL5003,B2BORD4002,BRN007,Brinjal - Long (1kg),56,56.0,158.41,8870.96,ALLOC9050,2025-11-28 19:35:24,CTR_VDR_001,CON3024,2025-11-06 18:01:54,Bulk crate
B2BOL5004,B2BORD4002,LIM008,Lemon - Khatta (500g),106,53.0,87.62,9287.72,ALLOC9044,2025-11-29 02:32:30,CTR_SUR_001,CON3042,2025-09-08 00:24:55,Bulk crate
B2BOL5003,B2BORD4003,ONI003,Onion - Red Nashik (1kg),147,147.0,90.75,13340.25,ALLOC9009,2025-11-30 12:12:15,CTR_SUR_001,CON3001,2025-09-22 21:47:48,Standard pack
B2BOL5004,B2BORD4004,LIM008,Lemon - Khatta (500g),182,91.0,149.44,27198.08,ALLOC9028,2025-12-01 20:08:33,CTR_VDR_001,CON3015,2025-11-21 09:18:11,Standard pack
B2BOL5005,B2BORD4004,LIM008,Lemon - Khatta (500g),98,49.0,47.92,4696.16,ALLOC9013,2025-12-02 06:16:24,CTR_AHD_001,CON3003,2025-09-22 06:36:52,Prewashed
B2BOL5005,B2BORD4005,GUR010,Ginger - Fresh (250g),14,14.0,63.32,886.48,ALLOC9005,2025-11-30 06:06:22,CTR_AHD_001,CON3039,2025-10-23 00:39:59,Standard pack
B2BOL5006,B2BORD4005,LIM008,Lemon - Khatta (500g),163,81.5,140.96,22976.48,ALLOC9004,2025-11-28 17:08:57,CTR_SUR_001,CON3048,2025-10-11 11:39:27,Standard pack
B2BOL5006,B2BORD4006,LIM008,Lemon - Khatta (500g),69,34.5,117.16,8084.04,ALLOC9049,2025-12-01 05:55:59,CTR_AHD_001,CON3009,2025-09-14 07:15:24,Prewashed
B2BOL5007,B2BORD4006,COW005,Cucumber - Slicing (1kg),69,69.0,166.84,11511.96,ALLOC9047,2025-11-29 12:35:52,CTR_RJT_001,CON3037,2025-11-23 06:53:08,Prewashed
B2BOL5007,B2BORD4007,BTR006,Bitter Gourd (1kg),70,70.0,74.32,5202.4,ALLOC9010,2025-12-01 05:47:19,CTR_SUR_001,CON3027,2025-10-29 08:15:49,Bulk crate
B2BOL5008,B2BORD4007,COW005,Cucumber - Slicing (1kg),25,25.0,120.21,3005.25,ALLOC9038,2025-11-28 11:57:35,CTR_SUR_001,CON3041,2025-11-25 02:26:59,Prewashed
B2BOL5009,B2BORD4007,BRN007,Brinjal - Long (1kg),152,152.0,109.21,16599.92,ALLOC9023,2025-11-29 18:02:29,CTR_VDR_001,CON3034,2025-10-13 15:34:48,Bulk crate
B2BOL5008,B2BORD4008,BRN007,Brinjal - Long (1kg),114,114.0,46.86,5342.04,ALLOC9025,2025-11-30 13:28:02,CTR_SUR_001,CON3049,2025-10-12 18:59:30,Prewashed
B2BOL5009,B2BORD4008,LIM008,Lemon - Khatta (500g),71,35.5,172.88,12274.48,ALLOC9020,2025-11-29 17:05:31,CTR_SUR_001,CON3030,2025-11-04 23:03:22,Standard pack
B2BOL5010,B2BORD4008,APP009,Apple - Kinnaur (1kg),115,115.0,194.2,22333.0,ALLOC9036,2025-11-30 12:46:15,CTR_SUR_001,CON3025,2025-09-05 16:21:44,Standard pack
B2BOL5009,B2BORD4009,CAR004,Carrot - Orange (1kg),94,94.0,136.41,12822.54,ALLOC9029,2025-11-30 16:19:42,CTR_RJT_001,CON3006,2025-09-05 12:56:50,Prewashed
B2BOL5010,B2BORD4009,CAR004,Carrot - Orange (1kg),23,23.0,68.32,1571.36,ALLOC9044,2025-11-30 07:28:44,CTR_AHD_001,CON3005,2025-10-30 13:28:48,Standard pack
B2BOL5010,B2BORD4010,APP009,Apple - Kinnaur (1kg),65,65.0,106.29,6908.85,ALLOC9022,2025-11-29 15:09:06,CTR_RJT_001,CON3001,2025-10-13 21:14:47,Standard pack
B2BOL5011,B2BORD4010,CAR004,Carrot - Orange (1kg),199,199.0,41.12,8182.88,ALLOC9049,2025-11-29 10:17:58,CTR_VDR_001,CON3016,2025-09-26 13:18:56,Prewashed
B2BOL5012,B2BORD4010,GUR010,Ginger - Fresh (250g),190,190.0,56.81,10793.9,ALLOC9016,2025-11-27 16:47:09,CTR_RJT_001,CON3050,2025-09-05 20:12:12,Bulk crate
B2BOL5011,B2BORD4011,LIM008,Lemon - Khatta (500g),146,73.0,136.77,19968.42,ALLOC9020,2025-11-27 16:35:01,CTR_RJT_001,CON3024,2025-09-21 11:45:37,Prewashed
B2BOL5012,B2BORD4011,LIM008,Lemon - Khatta (500g),129,64.5,37.75,4869.75,ALLOC9047,2025-12-02 07:34:23,CTR_VDR_001,CON3049,2025-09-17 06:52:29,Bulk crate
