order_id,external_order_code,customer_id,order_ts,requested_delivery_ts,order_channel,order_status,currency,gross_amount,tax_amount,discount_amount,net_amount,pickup_centre_id,fulfillment_priority,created_at
B2BORD4001,EXT100000,CUST1001,2025-09-20 00:41:25,2025-09-22 00:41:25,Sales Rep,DELIVERED,INR,44671.85,0,1091.15,43580.7,CTR_RJT_001,HIGH,2025-09-20 00:41:25
B2BORD4002,EXT100001,CUST1002,2025-11-08 13:33:12,2025-11-08 13:33:12,Email,DISPATCHED,INR,23770.12,0,1377.23,22392.89,CTR_SUR_001,HIGH,2025-11-08 13:33:12
B2BORD4003,EXT100002,CUST1003,2025-10-17 11:31:19,2025-10-18 11:31:19,Email,DELIVERED,INR,11793.1,0,1213.32,10579.78,CTR_RJT_001,URGENT,2025-10-17 11:31:19
B2BORD4004,EXT100003,CUST1004,2025-09-20 17:25:22,2025-09-21 17:25:22,WhatsApp,DELIVERED,INR,8276.78,0,741.08,7535.700000000001,CTR_AHD_001,HIGH,2025-09-20 17:25:22
B2BORD4005,EXT100004,CUST1005,2025-11-19 17:23:49,2025-11-19 17:23:49,Email,PLACED,INR,14838.64,0,495.84,14342.8,CTR_AHD_001,NORMAL,2025-11-19 17:23:49
B2BORD4006,EXT100005,CUST1006,2025-10-29 20:53:09,2025-10-30 20:53:09,Email,CANCELLED,INR,22070.47,0,1925.37,20145.100000000002,CTR_SUR_001,HIGH,2025-10-29 20:53:09
B2BORD4007,EXT100006,CUST1007,2025-09-10 21:13:06,2025-09-12 21:13:06,WhatsApp,CONFIRMED,INR,38629.83,0,996.53,37633.3,CTR_VDR_001,HIGH,2025-09-10 21:13:06
B2BORD4008,EXT100007,CUST1008,2025-10-12 18:04:48,2025-10-13 18:04:48,Email,PLACED,INR,6322.36,0,786.48,5535.879999999999,CTR_VDR_001,NORMAL,2025-10-12 18:04:48
B2BORD4009,EXT100008,CUST1009,2025-10-31 08:09:05,2025-10-31 08:09:05,WhatsApp,PLACED,INR,4425.94,0,989.79,3436.1499999999996,CTR_VDR_001,HIGH,2025-10-31 08:09:05
B2BORD4010,EXT100009,CUST1010,2025-10-01 15:51:15,2025-10-03 15:51:15,Sales Rep,PLACED,INR,22684.53,0,1764.91,20919.62,CTR_RJT_001,HIGH,2025-10-01 15:51:15
B2BORD4011,EXT100010,CUST1011,2025-09-16 22:42:40,2025-09-17 22:42:40,Sales Rep,DELIVERED,INR,4455.57,0,1123.63,3331.9399999999996,CTR_RJT_001,URGENT,2025-09-16 22:42:40
B2BORD4012,EXT100011,CUST1012,2025-11-16 10:44:22,2025-11-17 10:44:22,Sales Rep,DELIVERED,INR,26204.27,0,1528.81,24675.46,CTR_RJT_001,URGENT,2025-11-16 10:44:22
B2BORD4013,EXT100012,CUST1013,2025-09-17 13:11:50,2025-09-19 13:11:50,Sales Rep,CONFIRMED,INR,48803.98,0,787.81,48016.170000000006,CTR_RJT_001,URGENT,2025-09-17 13:11:50
B2BORD4014,EXT100013,CUST1014,2025-09-16 02:01:40,2025-09-17 02:01:40,Phone,CONFIRMED,INR,30918.22,0,802.77,30115.45,CTR_AHD_001,NORMAL,2025-09-16 02:01:40
B2BORD4015,EXT100014,CUST1015,2025-11-27 20:42:59,2025-11-27 20:42:59,Phone,DISPATCHED,INR,40590.36,0,1038.67,39551.69,CTR_SUR_001,URGENT,2025-11-27 20:42:59
B2BORD4016,EXT100015,CUST1016,2025-11-24 17:33:53,2025-11-26 17:33:53,Phone,DISPATCHED,INR,46705.7,0,637.06,46068.64,CTR_VDR_001,URGENT,2025-11-24 17:33:53
B2BORD4017,EXT100016,CUST1017,2025-11-01 07:37:28,2025-11-03 07:37:28,WhatsApp,CANCELLED,INR,18145.93,0,1656.58,16489.35,CTR_VDR_001,URGENT,2025-11-01 07:37:28
B2BORD4018,EXT100017,CUST1018,2025-09-17 04:20:20,2025-09-19 04:20:20,WhatsApp,DELIVERED,INR,41155.94,0,736.72,40419.22,CTR_AHD_001,HIGH,2025-09-17 04:20:20
B2BORD4019,EXT100018,CUST1019,2025-12-02 02:34:46,2025-12-04 02:34:46,WhatsApp,PLACED,INR,30651.66,0,531.06,30120.6,CTR_SUR_001,URGENT,2025-12-02 02:34:46
B2BORD4020,EXT100019,CUST1020,2025-10-07 04:37:51,2025-10-07 04:37:51,Email,CONFIRMED,INR,27163.15,0,1442.37,25720.780000000002,CTR_VDR_001,NORMAL,2025-10-07 04:37:51
B2BORD4021,EXT100020,CUST1021,2025-09-27 08:22:41,2025-09-29 08:22:41,Phone,PLACED,INR,29483.37,0,1401.04,28082.329999999998,CTR_SUR_001,NORMAL,2025-09-27 08:22:41
B2BORD4022,EXT100021,CUST1022,2025-10-26 10:18:26,2025-10-27 10:18:26,WhatsApp,DELIVERED,INR,9268.7,0,1381.0,7887.700000000001,CTR_VDR_001,URGENT,2025-10-26 10:18:26
B2BORD4023,EXT100022,CUST1023,2025-09-28 08:48:34,2025-09-30 08:48:34,Email,PLACED,INR,35877.21,0,1037.37,34839.84,CTR_RJT_001,URGENT,2025-09-28 08:48:34
B2BORD4024,EXT100023,CUST1024,2025-09-10 06:05:50,2025-09-11 06:05:50,Email,DISPATCHED,INR,47920.9,0,919.33,47001.57,CTR_RJT_001,URGENT,2025-09-10 06:05:50
B2BORD4025,EXT100024,CUST1025,2025-10-26 23:32:16,2025-10-27 23:32:16,WhatsApp,CANCELLED,INR,25240.64,0,1914.67,23325.97,CTR_RJT_001,URGENT,2025-10-26 23:32:16
