sku,Gross Sales,Discount Amount,Tax Amount,Net Sales
TOM001,4229488.82,268734.33,213129.08,3960754.49
POT002,2778002.93,183418.19,130008.02,2594584.74
ONI003,4603830.25,301010.09,208550.96,4302820.16
CAR004,3950365.34,247386.4,188146.72,3702978.94
COW005,5689517.51,373778.87,244831.04,5315738.64
BTR006,4882925.62,319838.49,208990.6,4563087.13
BRN007,5123256.78,335326.18,214455.64,4787930.6
LIM008,3287683.41,214061.42,163020.04,3073621.99
APP009,3975862.17,259645.95,183962.27,3716216.22
GUR010,5342947.37,271055.02,229716.56,5071892.35
