date,customer_type,total_orders,total_qty_kg,gross_sales,discount_amount,tax_amount,net_sales,created_at,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
2024-01-01,HORECA,23,1047.12,25218.61,1476.06,1187.13,23742.55,2025-12-02 10:46:16,,,,
2024-01-01,Wholesaler,16,667.14,14433.38,423.0,700.52,14010.38,2025-12-02 10:46:16,,,gs,40863880.20000005
2024-01-01,Retail Chain,12,1117.53,22188.15,1785.51,1020.13,20402.640000000003,2025-12-02 10:46:16,,,da,2674254.95
2024-01-01,Caterer,15,1171.11,18390.59,503.82,894.34,17886.77,2025-12-02 10:46:16,,,ta,1984811.9299999997
2024-01-02,HORECA,7,645.21,13145.04,358.14,639.35,12786.900000000001,2025-12-02 10:46:16,,,ns,ns
2024-01-02,Wholesaler,30,526.03,11243.51,521.14,536.12,10722.37,2025-12-02 10:46:16,,,,
2024-01-02,Retail Chain,11,262.9,5173.12,150.32,251.14,5022.8,2025-12-02 10:46:16,,,,
2024-01-02,Caterer,25,1023.39,22311.41,1558.03,1037.67,20753.38,2025-12-02 10:46:16,,,,
2024-01-03,HORECA,13,594.64,11174.94,537.15,531.89,10637.79,2025-12-02 10:46:16,,,,
2024-01-03,Wholesaler,17,944.47,18119.05,1602.89,825.81,16516.16,2025-12-02 10:46:16,,,,
2024-01-03,Retail Chain,11,735.08,13566.01,162.36,670.18,13403.65,2025-12-02 10:46:16,,,,
2024-01-03,Caterer,27,559.61,9860.69,825.78,451.75,9034.91,2025-12-02 10:46:16,,,,
2024-01-04,HORECA,6,631.79,11231.61,884.2,517.37,10347.41,2025-12-02 10:46:16,,,,
2024-01-04,Wholesaler,17,884.87,19717.35,840.96,943.82,18876.39,2025-12-02 10:46:16,,,,
2024-01-04,Retail Chain,25,769.07,12815.25,1101.43,585.69,11713.82,2025-12-02 10:46:16,,,,
2024-01-04,Caterer,21,511.29,12117.52,874.85,562.13,11242.67,2025-12-02 10:46:16,,,,
2024-01-05,HORECA,26,1073.03,26328.74,419.56,1295.46,25909.18,2025-12-02 10:46:16,,,,
2024-01-05,Wholesaler,23,545.77,13350.07,1185.67,608.22,12164.4,2025-12-02 10:46:16,,,,
2024-01-05,Retail Chain,8,875.83,18478.89,1191.7,864.36,17287.19,2025-12-02 10:46:16,,,,
2024-01-05,Caterer,19,992.23,16275.71,424.71,792.55,15851.0,2025-12-02 10:46:16,,,,
2024-01-06,HORECA,30,400.86,9752.6,577.94,458.73,9174.66,2025-12-02 10:46:16,,,,
2024-01-06,Wholesaler,9,281.22,4640.09,176.67,223.17,4463.42,2025-12-02 10:46:16,,,,
2024-01-06,Retail Chain,17,267.55,5480.86,394.78,254.3,5086.08,2025-12-02 10:46:16,,,,
2024-01-06,Caterer,16,663.02,11221.71,798.04,521.18,10423.669999999998,2025-12-02 10:46:16,,,,
2024-01-07,HORECA,15,290.63,7083.41,230.22,342.66,6853.19,2025-12-02 10:46:16,,,,
2024-01-07,Wholesaler,11,624.98,12652.03,1037.76,580.71,11614.27,2025-12-02 10:46:16,,,,
2024-01-07,Retail Chain,15,444.35,7912.07,774.98,356.85,7137.09,2025-12-02 10:46:16,,,,
2024-01-07,Caterer,10,212.11,4524.4,394.1,206.51,4130.299999999999,2025-12-02 10:46:16,,,,
2024-01-08,HORECA,19,855.94,13219.63,532.52,634.36,12687.109999999999,2025-12-02 10:46:16,,,,
2024-01-08,Wholesaler,30,473.25,10224.13,610.49,480.68,9613.64,2025-12-02 10:46:16,,,,
2024-01-08,Retail Chain,22,515.36,7825.85,172.46,382.67,7653.39,2025-12-02 10:46:16,,,,
2024-01-08,Caterer,16,878.89,21042.03,969.44,1003.63,20072.59,2025-12-02 10:46:16,,,,
2024-01-09,HORECA,6,945.03,19055.15,561.24,924.7,18493.91,2025-12-02 10:46:16,,,,
