year,month,customer_type,total_orders,total_qty_kg,gross_sales,discount_amount,tax_amount,net_sales,created_at
2024,1,HORECA,517,21181.79,439071.65,22585.77,20824.32,437310.2,2025-12-02 10:46:16
2024,1,Wholesaler,556,20086.92,423772.53,23209.24,20028.19,420591.48,2025-12-02 10:46:16
2024,1,Retail Chain,524,20675.96,393860.3,20665.1,18659.71,391854.91,2025-12-02 10:46:16
2024,1,Caterer,577,22836.81,466357.85,22097.39,22213.03,466473.49,2025-12-02 10:46:16
2024,2,HORECA,521,16967.01,343640.59,21988.34,16082.6,337734.85,2025-12-02 10:46:16
2024,2,Wholesaler,505,22671.53,447298.13,26134.1,21058.21,442222.24,2025-12-02 10:46:16
2024,2,Retail Chain,463,20561.21,399922.62,23701.15,18811.07,395032.54,2025-12-02 10:46:16
2024,2,Caterer,517,19710.79,409342.15,24959.07,19219.15,403602.23,2025-12-02 10:46:16
2024,3,HORECA,529,20876.4,413388.2,21166.37,19611.09,411832.92,2025-12-02 10:46:16
2024,3,Wholesaler,554,22114.03,458966.34,27294.86,21583.58,453255.06,2025-12-02 10:46:16
2024,3,Retail Chain,502,21584.68,436052.89,25346.03,20535.32,431242.18,2025-12-02 10:46:16
2024,3,Caterer,565,20635.75,423263.42,24146.09,19955.85,419073.18,2025-12-02 10:46:16
2024,4,HORECA,502,21601.13,417419.05,23459.65,19697.95,413657.35,2025-12-02 10:46:16
2024,4,Wholesaler,520,22115.41,447393.05,23491.19,21195.08,445096.94,2025-12-02 10:46:16
2024,4,Retail Chain,534,21213.1,410458.45,21306.96,19457.59,408609.08,2025-12-02 10:46:16
2024,4,Caterer,531,22170.25,438141.76,23443.62,20734.91,435433.05,2025-12-02 10:46:16
2024,5,HORECA,567,18180.86,362324.34,17468.99,17242.78,362098.13,2025-12-02 10:46:16
2024,5,Wholesaler,522,19957.74,392267.18,23329.48,18446.87,387384.57,2025-12-02 10:46:16
2024,5,Retail Chain,453,21088.82,429733.39,23230.25,20325.16,426828.3,2025-12-02 10:46:16
2024,5,Caterer,606,20861.64,421822.4,23447.77,19918.69,418293.32,2025-12-02 10:46:16
2024,6,HORECA,555,20088.92,384467.44,25328.05,17956.98,377096.37,2025-12-02 10:46:16
2024,6,Wholesaler,554,19630.62,365874.9,20853.96,17251.04,362271.98,2025-12-02 10:46:16
2024,6,Retail Chain,585,25266.51,519110.44,24128.8,24749.11,519730.75,2025-12-02 10:46:16
2024,6,Caterer,520,21142.7,413788.34,25590.41,19409.86,407607.79,2025-12-02 10:46:16
2024,7,HORECA,545,22245.25,428024.5,24005.41,20200.95,424220.04,2025-12-02 10:46:16
2024,7,Wholesaler,566,23872.63,457583.37,22251.06,21766.62,457098.93,2025-12-02 10:46:16
2024,7,Retail Chain,593,24331.65,476906.76,29113.91,22389.68,470182.53,2025-12-02 10:46:16
2024,7,Caterer,568,20235.57,406768.22,25860.28,19045.4,399953.34,2025-12-02 10:46:16
2024,8,HORECA,544,21565.56,428813.72,27081.19,20086.6,421819.13,2025-12-02 10:46:16
2024,8,Wholesaler,454,21517.46,434389.31,25042.55,20467.38,429814.14,2025-12-02 10:46:16
2024,8,Retail Chain,516,22683.17,444894.41,24586.71,21015.4,441323.1,2025-12-02 10:46:16
2024,8,Caterer,556,21763.95,431827.01,26081.54,20287.27,426032.74,2025-12-02 10:46:16
2024,9,HORECA,506,20656.31,409099.76,29397.43,18985.14,398687.47,2025-12-02 10:46:16
2024,9,Wholesaler,534,20614.59,419717.42,26576.9,19657.03,412797.55,2025-12-02 10:46:16
2024,9,Retail Chain,644,21741.07,430603.03,23323.13,20364.02,427643.92,2025-12-02 10:46:16
2024,9,Caterer,559,19291.64,386539.55,21473.33,18253.29,383319.51,2025-12-02 10:46:16
2024,10,HORECA,587,21813.14,450343.65,24482.66,21293.1,447154.09,2025-12-02 10:46:16
2024,10,Wholesaler,556,25922.76,520283.91,26451.59,24691.63,518523.95,2025-12-02 10:46:16
2024,10,Retail Chain,572,19787.66,388431.14,19773.79,18432.86,387090.21,2025-12-02 10:46:16
2024,10,Caterer,575,25180.0,521280.06,25812.31,24773.39,520241.14,2025-12-02 10:46:16
2024,11,HORECA,512,20810.29,401646.41,21598.92,19002.37,399049.86,2025-12-02 10:46:16
2024,11,Wholesaler,496,23099.33,433675.63,21033.51,20632.1,433274.22,2025-12-02 10:46:16
2024,11,Retail Chain,551,21670.83,431252.11,25241.55,20300.53,426311.09,2025-12-02 10:46:16
2024,11,Caterer,543,21534.82,424208.08,25405.28,19940.17,418742.97,2025-12-02 10:46:16
2024,12,HORECA,523,21671.77,456277.34,25101.25,21558.83,452734.92,2025-12-02 10:46:16
2024,12,Wholesaler,543,23642.68,454482.06,23116.32,21568.32,452934.06,2025-12-02 10:46:16
2024,12,Retail Chain,528,23561.06,476716.06,28984.71,22386.55,470117.9,2025-12-02 10:46:16
2024,12,Caterer,469,24060.62,487302.52,23950.32,23167.64,486519.84,2025-12-02 10:46:16
