coupon_id,coupon_code,description,discount_type,discount_value,max_discount_amount,valid_from,valid_to,min_order_amount,usage_limit,active_flag,created_at,updated_at
COUP01061,DIWALI80,Percentage Discount,PERCENT,20,150,2025-10-13 20:10:34,2025-11-10 20:10:34,400,1,True,2025-10-13 20:10:34,2025-11-10 20:10:34
COUP01065,ECO10,Percentage Discount,PERCENT,10,60,2025-08-06 10:47:58,2025-10-24 10:47:58,200,1,True,2025-08-06 10:47:58,2025-10-24 10:47:58
COUP01041,FRESH100,Flat Discount,FLAT,30,75,2025-08-25 02:39:19,2025-09-16 02:39:19,0,2,True,2025-08-25 02:39:19,2025-11-13 04:54:00
COUP01012,FRESH101,Flat Discount,FLAT,20,100,2025-11-25 10:01:53,2025-12-25 10:01:53,200,2,True,2025-11-25 10:01:53,2025-11-02 11:16:44
COUP01013,FRESH102,Flat Discount,FLAT,50,100,2025-08-29 20:19:40,2025-11-01 20:19:40,300,5,True,2025-08-29 20:19:40,2025-11-14 09:57:11
COUP01044,FRESH103,Flat Discount,FLAT,30,100,2025-10-29 11:29:11,2025-11-08 11:29:11,300,1,True,2025-10-29 11:29:11,2025-11-02 13:59:50
COUP01055,FRESH104,Flat Discount,FLAT,20,50,2025-11-26 10:52:12,2026-01-13 10:52:12,300,10,True,2025-11-26 10:52:12,2025-11-15 12:26:34
COUP01016,FRESH105,Percentage Discount,PERCENT,30,75,2025-11-04 10:07:36,2025-12-28 10:07:36,200,2,True,2025-11-04 10:07:36,2025-11-14 08:56:55
COUP01052,FRESH106,Percentage Discount,PERCENT,10,50,2025-09-22 18:17:16,2025-11-13 18:17:16,300,2,True,2025-09-22 18:17:16,2025-11-25 20:20:37
COUP01043,FRESH107,Flat Discount,FLAT,50,50,2025-10-13 02:57:56,2026-01-04 02:57:56,200,1,True,2025-10-13 02:57:56,2025-11-16 14:24:25
COUP01010,FRESH108,Percentage Discount,PERCENT,20,150,2025-11-29 19:39:34,2026-01-10 19:39:34,200,10,True,2025-11-29 19:39:34,2025-11-16 20:18:22
COUP01020,FRESH109,Percentage Discount,PERCENT,30,150,2025-09-08 13:05:59,2025-11-24 13:05:59,0,5,True,2025-09-08 13:05:59,2025-11-14 01:34:37
COUP01063,FRESH30,Flat Discount,FLAT,30,100,2025-10-21 19:36:07,2025-12-23 19:36:07,250,1,True,2025-10-21 19:36:07,2025-12-23 19:36:07
COUP01062,HOLI70,Percentage Discount,PERCENT,15,120,2025-03-17 20:09:00,2025-03-30 20:09:00,350,1,True,2025-03-17 20:09:00,2025-03-30 20:09:00
COUP01011,NEWUSER0,Flat Discount,FLAT,10,50,2025-10-30 07:22:02,2026-01-12 07:22:02,300,5,True,2025-10-30 07:22:02,2025-11-06 11:12:15
COUP01002,NEWUSER1,Flat Discount,FLAT,20,100,2025-08-17 20:09:00,2025-09-02 20:09:00,200,10,True,2025-08-17 20:09:00,2025-11-07 02:18:19
COUP01003,NEWUSER2,Percentage Discount,PERCENT,10,50,2025-10-21 19:36:07,2025-12-23 19:36:07,200,10,True,2025-10-21 19:36:07,2025-11-25 18:47:21
COUP01004,NEWUSER3,Percentage Discount,PERCENT,10,50,2025-10-24 11:21:31,2025-12-10 11:21:31,300,2,True,2025-10-24 11:21:31,2025-12-02 00:40:09
COUP01015,NEWUSER4,Percentage Discount,PERCENT,10,150,2025-08-24 20:53:37,2025-10-09 20:53:37,0,10,True,2025-08-24 20:53:37,2025-11-03 23:19:30
COUP01006,NEWUSER5,Flat Discount,FLAT,20,50,2025-09-24 23:55:46,2025-11-13 23:55:46,300,1,True,2025-09-24 23:55:46,2025-11-14 09:21:22
COUP01051,NEWUSER6,Percentage Discount,PERCENT,30,150,2025-10-30 17:02:01,2025-11-20 17:02:01,0,10,True,2025-10-30 17:02:01,2025-11-22 09:35:29
COUP01058,NEWUSER7,Percentage Discount,PERCENT,20,100,2025-09-10 04:45:49,2025-12-08 04:45:49,0,2,True,2025-09-10 04:45:49,2025-11-06 16:32:59
COUP01056,NEWUSER8,Percentage Discount,PERCENT,10,75,2025-09-10 16:01:48,2025-09-23 16:01:48,300,1,True,2025-09-10 16:01:48,2025-11-22 06:24:39
COUP01060,NEWUSER9,Flat Discount,FLAT,20,150,2025-09-18 19:55:04,2025-12-01 19:55:04,0,10,True,2025-09-18 19:55:04,2025-12-02 07:07:41
COUP01064,NEWYEAR25,Flat Discount,FLAT,25,80,2024-12-20 11:21:31,2025-01-10 11:21:31,300,1,True,2024-12-20 11:21:31,2025-01-10 11:21:31
COUP01021,SAVE200,Percentage Discount,PERCENT,20,75,2025-08-11 08:22:40,2025-08-29 08:22:40,300,10,True,2025-08-11 08:22:40,2025-11-12 06:09:06
COUP01031,SAVE201,Percentage Discount,PERCENT,50,100,2025-08-18 05:23:03,2025-10-23 05:23:03,0,10,True,2025-08-18 05:23:03,2025-11-27 21:32:20
COUP01023,SAVE202,Flat Discount,FLAT,50,100,2025-12-01 11:24:15,2026-02-12 11:24:15,0,10,True,2025-12-01 11:24:15,2025-11-29 18:35:37
COUP01019,SAVE203,Flat Discount,FLAT,50,75,2025-08-31 14:43:01,2025-10-08 14:43:01,200,1,True,2025-08-31 14:43:01,2025-11-08 06:09:25
COUP01045,SAVE204,Flat Discount,FLAT,20,150,2025-11-24 12:34:05,2025-12-14 12:34:05,300,2,True,2025-11-24 12:34:05,2025-11-30 13:47:42
COUP01057,SAVE206,Flat Discount,FLAT,30,100,2025-11-18 21:14:22,2025-12-04 21:14:22,0,5,True,2025-11-18 21:14:22,2025-11-07 18:45:48
COUP01038,SAVE207,Percentage Discount,PERCENT,30,50,2025-10-01 20:11:24,2025-12-07 20:11:24,300,10,True,2025-10-01 20:11:24,2025-11-16 17:45:15
COUP01039,SAVE208,Percentage Discount,PERCENT,50,150,2025-10-13 15:08:28,2025-12-31 15:08:28,0,1,True,2025-10-13 15:08:28,2025-11-11 14:41:51
COUP01040,SAVE209,Percentage Discount,PERCENT,10,100,2025-08-25 14:58:52,2025-11-01 14:58:52,0,5,True,2025-08-25 14:58:52,2025-11-28 23:24:47
COUP01001,VEG50,Flat Discount,FLAT,20,100,2025-08-13 20:10:34,2025-10-10 20:10:34,300,5,True,2025-08-13 20:10:34,2025-11-20 13:55:09
COUP01042,VEG51,Percentage Discount,PERCENT,10,100,2025-08-22 21:08:15,2025-10-26 21:08:15,200,10,True,2025-08-22 21:08:15,2025-11-09 15:00:33
COUP01024,VEG52,Percentage Discount,PERCENT,50,50,2025-08-16 08:08:59,2025-11-14 08:08:59,300,1,True,2025-08-16 08:08:59,2025-11-18 04:04:05
COUP01014,VEG53,Percentage Discount,PERCENT,30,100,2025-09-07 00:36:53,2025-10-21 00:36:53,300,1,True,2025-09-07 00:36:53,2025-11-26 12:25:12
COUP01005,VEG54,Flat Discount,FLAT,20,50,2025-08-06 10:47:58,2025-10-24 10:47:58,200,10,True,2025-08-06 10:47:58,2025-11-19 01:49:03
COUP01026,VEG55,Percentage Discount,PERCENT,20,75,2025-09-13 02:10:38,2025-10-27 02:10:38,300,2,True,2025-09-13 02:10:38,2025-11-06 08:57:57
COUP01017,VEG56,Percentage Discount,PERCENT,20,100,2025-08-28 21:04:57,2025-10-26 21:04:57,300,10,True,2025-08-28 21:04:57,2025-11-18 22:04:56
COUP01028,VEG57,Flat Discount,FLAT,10,75,2025-08-19 16:13:57,2025-11-17 16:13:57,200,2,True,2025-08-19 16:13:57,2025-11-05 04:44:35
COUP01009,VEG58,Flat Discount,FLAT,20,50,2025-08-28 18:09:02,2025-10-06 18:09:02,0,2,True,2025-08-28 18:09:02,2025-11-05 16:08:05
