order_id,order_number,customer_id,order_ts,channel,order_status,payment_status,delivery_slot_id,delivery_address_id,total_amount,tax_amount,discount_amount,shipping_charge,net_amount,coupon_code,source_campaign,fulfillment_centre_id,created_at,updated_at,Unnamed: 19
EORDR5174,ORDR20250174,CUST1042,2025-08-02 18:00:00,Mobile App,CANCELLED,PENDING,SLOT38,ADDR6174,3130.53,156.53,178.67,122.79,3231.18,,FB Ads,Ahmedabad Collection Centre,2025-08-02 18:00:00,2025-08-03 01:00:00,
EORDR5202,ORDR20250202,CUST1067,2025-08-02 23:00:00,Mobile App,CANCELLED,REFUNDED,SLOT34,ADDR6202,1499.03,74.95,180.07,111.45,1505.36,NEWUSER,,Ahmedabad Collection Centre,2025-08-02 23:00:00,2025-08-03 09:00:00,
EORDR5128,ORDR20250128,CUST1042,2025-08-03 02:00:00,Mobile App,DELIVERED,PAID,SLOT15,ADDR6128,3372.18,168.61,163.25,143.15,3520.69,,Referral,Surat Distribution Centre,2025-08-03 02:00:00,2025-08-03 14:00:00,
EORDR5114,ORDR20250114,CUST1035,2025-08-03 04:00:00,Mobile App,CANCELLED,PAID,SLOT41,ADDR6114,4133.86,206.69,194.11,132.88,4279.32,NEWUSER,FB Ads,Surat Distribution Centre,2025-08-03 04:00:00,2025-08-05 12:00:00,
EORDR5004,ORDR20250004,CUST1095,2025-08-03 08:00:00,Mobile App,DELIVERED,REFUNDED,SLOT40,ADDR6004,4438.61,221.93,114.31,136.91,4683.14,NEWUSER,FB Ads,Ahmedabad Collection Centre,2025-08-03 08:00:00,2025-08-04 22:00:00,
EORDR5378,ORDR20250378,CUST1015,2025-08-03 12:00:00,Web,CONFIRMED,PAID,SLOT21,ADDR6378,5041.3,252.07,28.18,53.88,5319.07,,FB Ads,Surat Distribution Centre,2025-08-03 12:00:00,2025-08-06 03:00:00,
EORDR5051,ORDR20250051,CUST1086,2025-08-03 16:00:00,Mobile App,SHIPPED,PENDING,SLOT49,ADDR6051,1861.99,93.1,150.88,113.85,1918.06,,,Surat Distribution Centre,2025-08-03 16:00:00,2025-08-06 06:00:00,
EORDR5355,ORDR20250355,CUST1053,2025-08-04 06:00:00,Mobile App,DELIVERED,PAID,SLOT2,ADDR6355,4345.64,217.28,97.26,120.13,4585.79,,Referral,Ahmedabad Collection Centre,2025-08-04 06:00:00,2025-08-05 17:00:00,
EORDR5385,ORDR20250385,CUST1049,2025-08-04 17:00:00,Mobile App,PACKED,REFUNDED,SLOT29,ADDR6385,756.63,37.83,171.81,110.61,733.26,NEWUSER,Google,Surat Distribution Centre,2025-08-04 17:00:00,2025-08-05 17:00:00,
EORDR5441,ORDR20250441,CUST1055,2025-08-04 17:00:00,Web,DELIVERED,REFUNDED,SLOT15,ADDR6441,717.42,35.87,190.78,135.1,697.61,,FB Ads,Ahmedabad Collection Centre,2025-08-04 17:00:00,2025-08-06 20:00:00,
EORDR5330,ORDR20250330,CUST1072,2025-08-04 18:00:00,Mobile App,DELIVERED,PENDING,SLOT26,ADDR6330,5081.68,254.08,54.14,145.49,5427.11,,Google,Surat Distribution Centre,2025-08-04 18:00:00,2025-08-04 21:00:00,
EORDR5119,ORDR20250119,CUST1057,2025-08-04 21:00:00,Mobile App,DELIVERED,PAID,SLOT29,ADDR6119,635.1,31.76,54.9,57.62,669.58,FRESH10,FB Ads,Surat Distribution Centre,2025-08-04 21:00:00,2025-08-05 03:00:00,
EORDR5120,ORDR20250120,CUST1067,2025-08-05 09:00:00,Mobile App,CONFIRMED,PAID,SLOT23,ADDR6120,2284.0,114.2,174.84,35.37,2258.73,FRESH10,,Surat Distribution Centre,2025-08-05 09:00:00,2025-08-06 03:00:00,
EORDR5106,ORDR20250106,CUST1055,2025-08-05 13:00:00,Mobile App,DELIVERED,PAID,SLOT15,ADDR6106,2749.8,137.49,130.03,32.18,2789.44,,Organic,Surat Distribution Centre,2025-08-05 13:00:00,2025-08-08 09:00:00,
EORDR5282,ORDR20250282,CUST1061,2025-08-06 03:00:00,Web,DELIVERED,PAID,SLOT35,ADDR6282,5500.46,275.02,110.23,140.19,5805.44,FRESH10,Google,Surat Distribution Centre,2025-08-06 03:00:00,2025-08-08 03:00:00,
EORDR5160,ORDR20250160,CUST1019,2025-08-06 04:00:00,Web,CONFIRMED,PAID,SLOT38,ADDR6160,2635.48,131.77,87.6,75.95,2755.6,FRESH10,Google,Surat Distribution Centre,2025-08-06 04:00:00,2025-08-06 07:00:00,
EORDR5091,ORDR20250091,CUST1004,2025-08-06 08:00:00,Web,SHIPPED,PENDING,SLOT49,ADDR6091,4807.7,240.38,181.27,36.47,4903.28,,,Surat Distribution Centre,2025-08-06 08:00:00,2025-08-09 08:00:00,
EORDR5198,ORDR20250198,CUST1040,2025-08-06 09:00:00,Mobile App,DELIVERED,REFUNDED,SLOT37,ADDR6198,2124.79,106.24,24.62,121.83,2328.24,,FB Ads,Surat Distribution Centre,2025-08-06 09:00:00,2025-08-08 01:00:00,
EORDR5442,ORDR20250442,CUST1077,2025-08-06 10:00:00,Mobile App,DELIVERED,REFUNDED,SLOT4,ADDR6442,4793.25,239.66,134.0,47.75,4946.66,FRESH10,Organic,Surat Distribution Centre,2025-08-06 10:00:00,2025-08-08 01:00:00,
EORDR5492,ORDR20250492,CUST1098,2025-08-06 10:00:00,Web,CANCELLED,REFUNDED,SLOT32,ADDR6492,857.22,42.86,141.17,121.87,880.78,FRESH10,FB Ads,Surat Distribution Centre,2025-08-06 10:00:00,2025-08-08 13:00:00,
EORDR5133,ORDR20250133,CUST1066,2025-08-07 00:00:00,Mobile App,CANCELLED,PAID,SLOT26,ADDR6133,4937.31,246.87,105.77,32.3,5110.71,NEWUSER,Referral,Ahmedabad Collection Centre,2025-08-07 00:00:00,2025-08-08 07:00:00,
EORDR5389,ORDR20250389,CUST1011,2025-08-07 16:00:00,Web,PLACED,REFUNDED,SLOT4,ADDR6389,3660.29,183.01,136.48,94.3,3801.12,NEWUSER,Referral,Ahmedabad Collection Centre,2025-08-07 16:00:00,2025-08-08 08:00:00,
EORDR5015,ORDR20250015,CUST1085,2025-08-07 17:00:00,Mobile App,PACKED,PAID,SLOT2,ADDR6015,4455.06,222.75,140.49,120.75,4658.07,NEWUSER,Referral,Surat Distribution Centre,2025-08-07 17:00:00,2025-08-09 06:00:00,
EORDR5340,ORDR20250340,CUST1081,2025-08-08 03:00:00,Mobile App,PACKED,PAID,SLOT33,ADDR6340,3019.71,150.99,46.09,66.2,3190.81,NEWUSER,Organic,Surat Distribution Centre,2025-08-08 03:00:00,2025-08-11 03:00:00,
EORDR5057,ORDR20250057,CUST1033,2025-08-08 10:00:00,Web,SHIPPED,PAID,SLOT29,ADDR6057,4396.17,219.81,108.76,144.15,4651.37,FRESH10,,Ahmedabad Collection Centre,2025-08-08 10:00:00,2025-08-10 15:00:00,
EORDR5214,ORDR20250214,CUST1060,2025-08-09 15:00:00,Mobile App,DELIVERED,PAID,SLOT42,ADDR6214,1444.52,72.23,172.15,141.28,1485.88,NEWUSER,Referral,Surat Distribution Centre,2025-08-09 15:00:00,2025-08-10 03:00:00,
EORDR5030,ORDR20250030,CUST1027,2025-08-09 18:00:00,Mobile App,PACKED,PAID,SLOT37,ADDR6030,526.69,26.33,164.04,105.39,494.37,NEWUSER,,Surat Distribution Centre,2025-08-09 18:00:00,2025-08-11 14:00:00,
EORDR5455,ORDR20250455,CUST1016,2025-08-09 18:00:00,Web,CANCELLED,PAID,SLOT36,ADDR6455,5350.4,267.52,94.0,75.04,5598.96,FRESH10,Referral,Ahmedabad Collection Centre,2025-08-09 18:00:00,2025-08-10 06:00:00,
EORDR5182,ORDR20250182,CUST1015,2025-08-09 21:00:00,Web,SHIPPED,PAID,SLOT23,ADDR6182,1858.5,92.93,125.61,43.14,1868.96,FRESH10,Organic,Surat Distribution Centre,2025-08-09 21:00:00,2025-08-11 21:00:00,
EORDR5218,ORDR20250218,CUST1070,2025-08-09 22:00:00,Mobile App,SHIPPED,REFUNDED,SLOT4,ADDR6218,2387.11,119.36,109.15,139.47,2536.79,FRESH10,FB Ads,Surat Distribution Centre,2025-08-09 22:00:00,2025-08-12 18:00:00,
EORDR5482,ORDR20250482,CUST1055,2025-08-10 11:00:00,Mobile App,PACKED,PENDING,SLOT20,ADDR6482,1352.31,67.62,38.88,140.51,1521.56,NEWUSER,Google,Ahmedabad Collection Centre,2025-08-10 11:00:00,2025-08-10 20:00:00,
EORDR5100,ORDR20250100,CUST1002,2025-08-11 06:00:00,Web,DELIVERED,PENDING,SLOT8,ADDR6100,702.95,35.15,134.03,129.32,733.39,FRESH10,Referral,Surat Distribution Centre,2025-08-11 06:00:00,2025-08-13 17:00:00,
EORDR5053,ORDR20250053,CUST1021,2025-08-11 11:00:00,Web,SHIPPED,PAID,SLOT27,ADDR6053,5168.92,258.45,185.59,39.31,5281.09,FRESH10,FB Ads,Surat Distribution Centre,2025-08-11 11:00:00,2025-08-12 04:00:00,
EORDR5410,ORDR20250410,CUST1071,2025-08-11 21:00:00,Web,CONFIRMED,PAID,SLOT46,ADDR6410,4596.01,229.8,199.59,122.51,4748.73,,,Ahmedabad Collection Centre,2025-08-11 21:00:00,2025-08-12 18:00:00,
EORDR5179,ORDR20250179,CUST1060,2025-08-12 02:00:00,Mobile App,DELIVERED,PENDING,SLOT4,ADDR6179,1654.12,82.71,146.1,86.21,1676.94,FRESH10,FB Ads,Surat Distribution Centre,2025-08-12 02:00:00,2025-08-12 06:00:00,
EORDR5413,ORDR20250413,CUST1042,2025-08-12 10:00:00,Web,CANCELLED,REFUNDED,SLOT30,ADDR6413,2421.32,121.07,190.56,46.94,2398.77,NEWUSER,Organic,Ahmedabad Collection Centre,2025-08-12 10:00:00,2025-08-12 22:00:00,
EORDR5088,ORDR20250088,CUST1090,2025-08-13 01:00:00,Mobile App,SHIPPED,PENDING,SLOT39,ADDR6088,4488.0,224.4,70.71,103.05,4744.74,NEWUSER,FB Ads,Surat Distribution Centre,2025-08-13 01:00:00,2025-08-15 20:00:00,
EORDR5201,ORDR20250201,CUST1031,2025-08-13 07:00:00,Mobile App,CANCELLED,PAID,SLOT34,ADDR6201,1843.56,92.18,109.8,62.72,1888.66,NEWUSER,Organic,Ahmedabad Collection Centre,2025-08-13 07:00:00,2025-08-15 03:00:00,
EORDR5386,ORDR20250386,CUST1033,2025-08-13 07:00:00,Mobile App,PACKED,PAID,SLOT30,ADDR6386,4141.29,207.06,32.3,76.88,4392.93,FRESH10,,Ahmedabad Collection Centre,2025-08-13 07:00:00,2025-08-15 14:00:00,
