refund_id,order_id,payment_id,refund_ts,refund_amount,refund_mode,gateway_ref_no,status,processed_by,processed_at,reason,notes
ERF7001,EORDR5079,EPAY6079,2025-11-30 17:21:29,3755.8,ACCOUNT_CREDIT,RPG5082759,INITIATED,finance_team,2025-12-01 12:21:29,Customer Return,
ERF7002,EORDR5050,EPAY6050,2025-11-18 15:45:44,3559.79,ACCOUNT_CREDIT,RPG9234634,INITIATED,finance_team,2025-11-19 04:45:44,Quality Issue,
ERF7003,EORDR5019,EPAY6019,2025-11-25 15:28:14,1935.06,ACCOUNT_CREDIT,RPG4858493,COMPLETED,finance_team,2025-11-26 16:28:14,Customer Return,
ERF7004,EORDR5048,EPAY6048,2025-11-21 22:41:32,844.41,PG_REFUND,RPG3009368,INITIATED,finance_team,2025-11-22 01:41:32,Order Cancelled,
ERF7005,EORDR5013,EPAY6013,2025-11-24 01:13:35,4114.87,ACCOUNT_CREDIT,RPG5442183,INITIATED,finance_team,2025-11-24 04:13:35,Quality Issue,
ERF7006,EORDR5021,EPAY6021,2025-11-13 08:33:09,4158.49,PG_REFUND,RPG4190526,COMPLETED,finance_team,2025-11-14 20:33:09,Customer Return,
ERF7007,EORDR5065,EPAY6065,2025-11-23 18:14:45,3719.71,ACCOUNT_CREDIT,RPG9717340,COMPLETED,finance_team,2025-11-24 16:14:45,Customer Return,
ERF7008,EORDR5005,EPAY6005,2025-11-28 03:53:02,3876.21,PG_REFUND,RPG6907244,FAILED,finance_team,2025-11-28 13:53:02,Customer Return,
ERF7009,EORDR5015,EPAY6015,2025-11-21 15:03:26,2540.28,ACCOUNT_CREDIT,RPG9823557,INITIATED,finance_team,2025-11-22 00:03:26,Customer Return,
ERF7010,EORDR5051,EPAY6051,2025-11-29 08:42:41,2053.57,ACCOUNT_CREDIT,RPG5316625,COMPLETED,finance_team,2025-11-30 06:42:41,Order Cancelled,
ERF7011,EORDR5017,EPAY6017,2025-11-27 06:30:05,402.04,PG_REFUND,RPG4553224,INITIATED,finance_team,2025-11-27 23:30:05,Customer Return,
ERF7012,EORDR5053,EPAY6053,2025-11-25 11:05:02,4423.14,ACCOUNT_CREDIT,RPG2038112,INITIATED,finance_team,2025-11-25 16:05:02,Quality Issue,
ERF7013,EORDR5018,EPAY6018,2025-11-30 14:34:30,1701.39,ACCOUNT_CREDIT,RPG1551940,FAILED,finance_team,2025-12-01 00:34:30,Quality Issue,
ERF7014,EORDR5063,EPAY6063,2025-11-22 06:51:52,4459.51,ACCOUNT_CREDIT,RPG2361957,INITIATED,finance_team,2025-11-22 16:51:52,Order Cancelled,
ERF7015,EORDR5016,EPAY6016,2025-12-02 07:03:14,2225.9,ACCOUNT_CREDIT,RPG9197935,COMPLETED,finance_team,2025-12-02 17:03:14,Quality Issue,
ERF7016,EORDR5001,EPAY6001,2025-11-18 15:09:33,2682.76,PG_REFUND,RPG1363254,COMPLETED,finance_team,2025-11-19 01:09:33,Quality Issue,
ERF7017,EORDR5060,EPAY6060,2025-11-19 00:34:33,223.75,ACCOUNT_CREDIT,RPG9292998,FAILED,finance_team,2025-11-19 13:34:33,Quality Issue,
ERF7018,EORDR5024,EPAY6024,2025-11-19 01:27:36,2055.06,ACCOUNT_CREDIT,RPG6121612,INITIATED,finance_team,2025-11-19 15:27:36,Quality Issue,
ERF7019,EORDR5044,EPAY6044,2025-11-26 15:31:01,2151.09,ACCOUNT_CREDIT,RPG3043776,COMPLETED,finance_team,2025-11-26 22:31:01,Order Cancelled,
ERF7020,EORDR5072,EPAY6072,2025-11-13 23:13:41,947.89,ACCOUNT_CREDIT,RPG3020431,COMPLETED,finance_team,2025-11-14 17:13:41,Customer Return,
ERF7021,EORDR5010,EPAY6010,2025-11-15 07:42:01,3786.62,PG_REFUND,RPG6382532,FAILED,finance_team,2025-11-16 17:42:01,Order Cancelled,
ERF7022,EORDR5084,EPAY6084,2025-11-25 15:41:34,2009.19,ACCOUNT_CREDIT,RPG8725849,INITIATED,finance_team,2025-11-25 16:41:34,Quality Issue,
ERF7023,EORDR5013,EPAY6013,2025-11-20 22:18:11,2939.03,PG_REFUND,RPG7368536,INITIATED,finance_team,2025-11-22 06:18:11,Order Cancelled,
