return_item_id,return_id,order_item_id,sku,qty,inspected_flag,inspected_at,restockable_flag,disposition,notes
RIT11001,RET10003,EOL3270,GUR010,5,True,2025-12-01 16:10:53,False,DISCARD,
RIT11002,RET10017,EOL3261,APP009,7,True,2025-11-22 22:23:09,True,RESTOCK,
RIT11003,RET10020,EOL3109,TOM001,3,False,2025-11-29 11:52:17,True,DISCARD,
RIT11004,RET10008,EOL3287,LIM008,8,True,2025-11-28 22:54:27,True,DISCARD,
RIT11005,RET10038,EOL3123,COW005,1,True,2025-11-23 01:21:01,False,RETURN_TO_SUPPLIER,
RIT11006,RET10028,EOL3292,GUR010,4,True,2025-12-02 07:56:38,True,DISCARD,
RIT11007,RET10007,EOL3015,ONI003,10,False,2025-11-29 11:00:03,True,RESTOCK,
RIT11008,RET10028,EOL3110,POT002,7,True,2025-11-29 12:54:15,True,RETURN_TO_SUPPLIER,
RIT11009,RET10012,EOL3201,BRN007,1,True,2025-12-02 03:36:21,False,DISCARD,
RIT11010,RET10040,EOL3153,LIM008,1,True,2025-11-25 08:06:38,True,DISCARD,
RIT11011,RET10010,EOL3061,TOM001,2,True,2025-12-02 08:37:18,False,RESTOCK,
RIT11012,RET10035,EOL3265,CAR004,7,False,2025-11-25 11:49:37,False,DISCARD,
RIT11013,RET10040,EOL3098,POT002,10,True,2025-11-22 21:44:40,True,DISCARD,
RIT11014,RET10037,EOL3114,TOM001,5,True,2025-11-30 11:05:06,True,RESTOCK,
RIT11015,RET10038,EOL3201,GUR010,5,True,2025-11-29 10:42:10,True,RESTOCK,
RIT11016,RET10008,EOL3116,ONI003,3,True,2025-11-27 08:53:24,False,DISCARD,
RIT11017,RET10010,EOL3249,POT002,2,True,2025-11-30 20:46:29,True,RESTOCK,
RIT11018,RET10023,EOL3115,ONI003,4,True,2025-11-22 15:32:34,False,RETURN_TO_SUPPLIER,
RIT11019,RET10002,EOL3246,ONI003,6,True,2025-11-23 01:46:09,True,RETURN_TO_SUPPLIER,
RIT11020,RET10040,EOL3200,ONI003,10,True,2025-12-01 06:08:59,False,DISCARD,
RIT11021,RET10022,EOL3251,TOM001,7,True,2025-11-28 19:53:01,True,DISCARD,
RIT11022,RET10002,EOL3085,CAR004,10,True,2025-11-28 05:49:17,False,RESTOCK,
RIT11023,RET10037,EOL3128,GUR010,2,False,2025-11-27 07:31:11,False,DISCARD,
RIT11024,RET10005,EOL3011,GUR010,10,True,2025-11-28 12:32:40,True,RETURN_TO_SUPPLIER,
RIT11025,RET10017,EOL3008,ONI003,7,True,2025-11-25 22:46:02,False,RESTOCK,
RIT11026,RET10028,EOL3098,BTR006,4,True,2025-11-30 12:03:29,False,RESTOCK,
RIT11027,RET10002,EOL3083,GUR010,1,False,2025-11-28 19:12:57,True,RESTOCK,
RIT11028,RET10021,EOL3181,POT002,2,True,2025-11-27 04:03:31,True,RETURN_TO_SUPPLIER,
RIT11029,RET10035,EOL3113,BRN007,1,False,2025-11-26 22:35:44,True,RETURN_TO_SUPPLIER,
RIT11030,RET10031,EOL3114,CAR004,9,False,2025-11-26 09:08:39,True,RETURN_TO_SUPPLIER,
RIT11031,RET10010,EOL3147,POT002,3,True,2025-11-28 17:40:08,True,DISCARD,
RIT11032,RET10008,EOL3238,TOM001,10,True,2025-11-30 13:08:22,True,RESTOCK,
RIT11033,RET10024,EOL3121,BTR006,6,True,2025-11-26 02:06:06,False,DISCARD,
RIT11034,RET10016,EOL3039,LIM008,4,True,2025-11-24 07:05:07,False,RESTOCK,
RIT11035,RET10018,EOL3173,COW005,3,True,2025-11-24 09:12:07,True,DISCARD,
RIT11036,RET10017,EOL3171,TOM001,10,True,2025-11-26 16:11:22,True,RESTOCK,
RIT11037,RET10035,EOL3103,COW005,7,True,2025-11-24 15:41:53,True,RESTOCK,
RIT11038,RET10002,EOL3131,COW005,8,True,2025-11-28 01:03:29,False,RETURN_TO_SUPPLIER,
RIT11039,RET10031,EOL3119,ONI003,6,True,2025-11-27 17:54:32,False,RETURN_TO_SUPPLIER,
RIT11040,RET10004,EOL3233,POT002,6,True,2025-11-27 03:26:03,False,RETURN_TO_SUPPLIER,
RIT11041,RET10010,EOL3102,ONI003,7,True,2025-11-28 18:00:16,False,DISCARD,
RIT11042,RET10012,EOL3263,APP009,2,True,2025-11-26 16:13:32,True,RESTOCK,
RIT11043,RET10025,EOL3158,BRN007,7,True,2025-11-28 01:58:55,False,DISCARD,
RIT11044,RET10008,EOL3129,GUR010,1,True,2025-11-26 11:32:13,False,RESTOCK,
RIT11045,RET10031,EOL3019,APP009,4,True,2025-11-26 20:27:44,True,RESTOCK,
RIT11046,RET10004,EOL3233,ONI003,4,True,2025-11-30 19:40:55,True,DISCARD,
RIT11047,RET10025,EOL3196,ONI003,2,False,2025-11-27 16:25:04,True,RETURN_TO_SUPPLIER,
RIT11048,RET10011,EOL3016,COW005,8,False,2025-12-01 17:32:20,True,RESTOCK,
RIT11049,RET10009,EOL3236,ONI003,6,False,2025-11-25 23:12:42,True,RESTOCK,
RIT11050,RET10030,EOL3242,BRN007,7,False,2025-11-26 04:35:21,True,RETURN_TO_SUPPLIER,
RIT11051,RET10019,EOL3235,POT002,6,True,2025-11-24 03:01:21,False,DISCARD,
RIT11052,RET10003,EOL3043,BRN007,6,True,2025-11-29 11:06:56,False,DISCARD,
RIT11053,RET10030,EOL3273,ONI003,6,True,2025-11-24 12:53:09,True,DISCARD,
RIT11054,RET10030,EOL3102,LIM008,5,True,2025-11-28 09:45:31,False,DISCARD,
RIT11055,RET10010,EOL3284,COW005,7,True,2025-11-28 09:35:41,False,DISCARD,
RIT11056,RET10022,EOL3112,BTR006,2,True,2025-11-26 13:11:56,False,RESTOCK,
RIT11057,RET10039,EOL3189,CAR004,2,False,2025-11-22 16:30:38,False,RESTOCK,
RIT11058,RET10023,EOL3060,APP009,10,False,2025-11-23 10:58:11,True,RESTOCK,
RIT11059,RET10029,EOL3233,APP009,8,True,2025-11-29 17:25:56,False,RESTOCK,
RIT11060,RET10005,EOL3196,CAR004,6,False,2025-11-24 23:00:59,False,RETURN_TO_SUPPLIER,
