date,order_channel,total_orders,total_customers,total_qty_kg,gross_sales,discount_amount,delivery_fee,tax_amount,net_sales,created_at,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
2024-01-01,Website,249,158,298.76,9245.32,541.16,833.96,435.21,7870.2,2025-12-02 10:48:49,,,,
2024-01-01,Mobile App,234,176,152.55,4650.86,441.42,385.17,210.47,3824.2699999999995,2025-12-02 10:48:49,,,gs,41148521.24000002
2024-01-01,WhatsApp,175,145,242.79,12380.24,753.26,1465.76,581.35,10161.22,2025-12-02 10:48:49,,,da,2464068.809999998
2024-01-02,Website,300,226,729.88,41631.99,1042.39,630.24,2029.48,39959.36,2025-12-02 10:48:49,,,df,1917523.9700000014
2024-01-02,Mobile App,56,37,371.43,19412.77,1760.91,655.55,882.59,16996.31,2025-12-02 10:48:49,,,ta,1989351.9799999997
2024-01-02,WhatsApp,82,54,621.68,33797.04,2359.09,924.96,1571.9,30512.99,2025-12-02 10:48:49,,,ns,36766928.45999995
2024-01-03,Website,280,204,717.4,38338.77,1259.72,932.31,1853.95,36146.74,2025-12-02 10:48:49,,,,
2024-01-03,Mobile App,101,73,484.74,23871.84,1513.03,395.97,1117.94,21962.84,2025-12-02 10:48:49,,,,
2024-01-03,WhatsApp,100,71,288.44,10856.91,678.21,505.6,508.94,9673.1,2025-12-02 10:48:49,,,,
2024-01-04,Website,143,123,382.59,21455.82,1132.51,373.67,1016.17,19949.64,2025-12-02 10:48:49,,,,
2024-01-04,Mobile App,127,111,308.34,12127.55,934.19,931.48,559.67,10261.88,2025-12-02 10:48:49,,,,
2024-01-04,WhatsApp,172,128,468.5,18958.94,545.05,432.92,920.69,17980.969999999998,2025-12-02 10:48:49,,,,
2024-01-05,Website,214,171,414.75,14881.62,1150.29,1496.68,686.57,12234.650000000001,2025-12-02 10:48:49,,,,
2024-01-05,Mobile App,244,216,435.21,16279.48,1431.77,400.97,742.39,14446.74,2025-12-02 10:48:49,,,,
2024-01-05,WhatsApp,54,34,157.81,5558.06,473.5,658.59,254.23,4425.97,2025-12-02 10:48:49,,,,
2024-01-06,Website,232,179,386.79,20493.82,691.84,901.64,990.1,18900.34,2025-12-02 10:48:49,,,,
2024-01-06,Mobile App,97,90,246.71,10230.91,467.58,762.56,488.17,9000.77,2025-12-02 10:48:49,,,,
2024-01-06,WhatsApp,267,221,493.47,19505.29,1257.28,952.72,912.4,17295.29,2025-12-02 10:48:49,,,,
2024-01-07,Website,185,171,449.72,20805.34,1267.18,951.54,976.91,18586.62,2025-12-02 10:48:49,,,,
2024-01-07,Mobile App,292,234,165.35,7180.66,471.92,370.78,335.44,6337.96,2025-12-02 10:48:49,,,,
2024-01-07,WhatsApp,94,83,143.26,5346.32,364.66,906.66,249.08,4075.0,2025-12-02 10:48:49,,,,
2024-01-08,Website,300,207,454.39,22522.58,1692.84,396.5,1041.49,20433.24,2025-12-02 10:48:49,,,,
2024-01-08,Mobile App,76,60,120.66,4564.92,372.34,1171.15,209.63,3021.4300000000003,2025-12-02 10:48:49,,,,
2024-01-08,WhatsApp,279,181,634.55,25805.47,1529.01,624.72,1213.82,23651.74,2025-12-02 10:48:49,,,,
2024-01-09,Website,203,181,207.2,11278.16,502.25,337.62,538.8,10438.289999999999,2025-12-02 10:48:49,,,,
2024-01-09,Mobile App,131,98,584.33,18727.91,1229.88,962.59,874.9,16535.44,2025-12-02 10:48:49,,,,
2024-01-09,WhatsApp,285,240,544.79,20465.63,1228.99,307.15,961.83,18929.49,2025-12-02 10:48:49,,,,
