year,month,order_channel,total_orders,total_customers,total_qty_kg,gross_sales,discount_amount,delivery_fee,tax_amount,net_sales,created_at
2024,1,Website,6076,4647,15484.22,724078.3,38881.51,25427.85,34259.84,744884.48,2025-12-02 10:48:49
2024,1,Mobile App,4744,3658,11771.71,511402.4,33143.22,27305.29,23912.97,529477.44,2025-12-02 10:48:49
2024,1,WhatsApp,5930,4623,14165.42,642966.7,38990.87,24495.36,30198.8,658669.99,2025-12-02 10:48:49
2024,2,Website,4826,3563,16025.02,737573.11,46144.13,29318.88,34571.47,755319.33,2025-12-02 10:48:49
2024,2,Mobile App,5068,3864,12017.09,552580.78,33368.41,24062.71,25960.61,569235.69,2025-12-02 10:48:49
2024,2,WhatsApp,4795,3563,12097.42,570995.12,34474.03,27706.18,26826.02,591053.29,2025-12-02 10:48:49
2024,3,Website,5705,4347,14829.81,681414.94,35339.75,26715.17,32303.79,705094.15,2025-12-02 10:48:49
2024,3,Mobile App,4886,3780,12507.84,582061.92,35869.42,29799.64,27309.63,603301.77,2025-12-02 10:48:49
2024,3,WhatsApp,5002,3915,14916.14,659013.33,40450.41,27823.25,30928.15,677314.32,2025-12-02 10:48:49
2024,4,Website,5220,3935,13454.7,626617.16,35488.88,28685.22,29556.43,649369.93,2025-12-02 10:48:49
2024,4,Mobile App,5392,4337,12030.56,541943.14,32888.43,29477.59,25452.74,563985.04,2025-12-02 10:48:49
2024,4,WhatsApp,4974,3974,12121.61,518641.34,29843.91,27507.37,24439.86,540744.66,2025-12-02 10:48:49
2024,5,Website,5537,4105,14446.26,697500.86,41917.5,29382.97,32779.18,717745.51,2025-12-02 10:48:49
2024,5,Mobile App,5765,4492,13794.68,620321.73,43292.31,24251.99,28851.48,630132.89,2025-12-02 10:48:49
2024,5,WhatsApp,5600,4421,14624.81,667035.72,39499.15,25597.13,31376.81,684510.51,2025-12-02 10:48:49
2024,6,Website,5550,4295,12195.05,560755.49,31813.37,27180.6,26447.09,582569.81,2025-12-02 10:48:49
2024,6,Mobile App,4418,3568,13134.93,613847.85,36749.15,26237.21,28854.94,632190.85,2025-12-02 10:48:49
2024,6,WhatsApp,4755,3749,13558.45,617687.22,40105.28,27488.07,28879.08,633949.09,2025-12-02 10:48:49
2024,7,Website,4944,3676,14929.56,614606.05,38096.55,26938.61,28825.5,632273.61,2025-12-02 10:48:49
2024,7,Mobile App,5798,4387,13851.5,625589.38,36628.46,30226.49,29448.08,648635.49,2025-12-02 10:48:49
2024,7,WhatsApp,5389,4329,15401.49,700317.71,41897.38,29882.06,32921.03,721223.42,2025-12-02 10:48:49
2024,8,Website,5957,4668,12178.8,544086.73,32280.02,25895.61,25590.35,563292.67,2025-12-02 10:48:49
2024,8,Mobile App,5353,4098,13515.56,621950.2,41499.37,27241.95,29022.57,636715.35,2025-12-02 10:48:49
2024,8,WhatsApp,5350,4175,14105.46,621833.04,36050.66,24049.81,29289.12,639121.31,2025-12-02 10:48:49
2024,9,Website,5700,4225,13585.93,630536.27,39777.48,27748.06,29537.94,648044.79,2025-12-02 10:48:49
2024,9,Mobile App,5650,4305,13483.38,607976.64,36362.73,29705.26,28580.7,629899.87,2025-12-02 10:48:49
2024,9,WhatsApp,5050,3994,15171.0,659936.49,39974.89,29842.54,30998.09,680802.23,2025-12-02 10:48:49
2024,10,Website,4498,3411,15022.13,620927.78,37266.4,29999.18,29183.08,642843.64,2025-12-02 10:48:49
2024,10,Mobile App,5357,4186,13685.67,615092.31,38185.89,25099.86,28845.33,630851.61,2025-12-02 10:48:49
2024,10,WhatsApp,5716,4412,14100.15,649186.0,34497.36,26780.48,30734.42,672203.54,2025-12-02 10:48:49
2024,11,Website,4818,3675,14690.66,658906.9,37070.99,30047.59,31091.81,682975.31,2025-12-02 10:48:49
2024,11,Mobile App,5300,4035,13454.41,617470.8,38878.97,25193.79,28929.62,632715.24,2025-12-02 10:48:49
2024,11,WhatsApp,5139,3882,12339.35,525959.72,32812.98,29912.02,24657.34,547716.1,2025-12-02 10:48:49
2024,12,Website,4882,3681,13685.28,580536.16,35149.85,28467.43,27269.3,601123.04,2025-12-02 10:48:49
2024,12,Mobile App,5350,4072,14332.47,674825.31,35874.48,26490.93,31947.54,697389.3,2025-12-02 10:48:49
2024,12,WhatsApp,5086,4043,14455.91,635972.0,36916.08,30499.45,29952.78,659508.15,2025-12-02 10:48:49
