ticket_id,customer_id,subject,description,status,priority,created_at,updated_at,order_id,assigned_to
TICK001001,CUST1031,Quality Complaint,Item received damaged.,CLOSED,LOW,2025-11-30 02:46:42,2025-11-19 08:03:34,EORD2039,ops_manager
TICK001002,CUST1012,Delivery Delay,Refund not processed.,RESOLVED,LOW,2025-10-05 03:38:48,2025-11-10 01:54:37,EORD2078,support_agent_1
TICK001003,CUST1003,Refund Query,Quality not satisfactory.,IN_PROGRESS,HIGH,2025-08-28 16:18:30,2025-11-07 12:42:57,EORD2017,support_agent_1
TICK001004,CUST1072,Refund Query,Delivery was delayed.,CLOSED,HIGH,2025-08-11 07:51:48,2025-12-01 09:06:06,EORD2060,support_agent_1
TICK001005,CUST1050,Delivery Delay,Quality not satisfactory.,OPEN,HIGH,2025-10-07 16:48:54,2025-11-12 16:57:31,EORD2026,support_agent_1
TICK001006,CUST1064,Order Issue,Quality not satisfactory.,OPEN,LOW,2025-08-19 18:27:46,2025-11-21 17:16:21,EORD2095,support_agent_2
TICK001007,CUST1093,Order Issue,Refund not processed.,RESOLVED,HIGH,2025-08-25 18:09:59,2025-11-18 15:15:40,EORD2018,ops_manager
TICK001008,CUST1058,Refund Query,Delivery was delayed.,RESOLVED,HIGH,2025-10-17 15:44:40,2025-11-21 09:01:49,EORD2052,support_agent_2
TICK001009,CUST1070,Refund Query,Refund not processed.,CLOSED,MEDIUM,2025-11-04 01:18:14,2025-11-29 06:51:26,EORD2071,support_agent_1
TICK001010,CUST1047,Order Issue,Item received damaged.,OPEN,LOW,2025-10-08 22:28:19,2025-12-02 04:32:20,EORD2048,support_agent_2
TICK001011,CUST1072,Delivery Delay,Item received damaged.,OPEN,MEDIUM,2025-10-29 13:23:15,2025-11-07 11:43:10,EORD2092,ops_manager
TICK001012,CUST1085,Order Issue,Quality not satisfactory.,OPEN,MEDIUM,2025-09-14 09:00:45,2025-11-15 10:21:15,EORD2003,ops_manager
TICK001013,CUST1051,Quality Complaint,Quality not satisfactory.,OPEN,HIGH,2025-08-18 12:31:28,2025-11-07 22:04:35,EORD2051,support_agent_1
TICK001014,CUST1025,Delivery Delay,Delivery was delayed.,RESOLVED,MEDIUM,2025-08-29 17:43:39,2025-12-01 21:47:12,EORD2051,support_agent_2
TICK001015,CUST1051,Refund Query,Delivery was delayed.,CLOSED,HIGH,2025-09-02 00:52:19,2025-11-28 10:51:19,EORD2008,ops_manager
TICK001016,CUST1066,Order Issue,Refund not processed.,CLOSED,MEDIUM,2025-11-13 07:43:31,2025-11-05 16:05:23,EORD2024,support_agent_1
TICK001017,CUST1064,Order Issue,Delivery was delayed.,IN_PROGRESS,LOW,2025-08-06 01:54:12,2025-11-15 12:30:35,EORD2051,ops_manager
TICK001018,CUST1020,Delivery Delay,Item received damaged.,RESOLVED,LOW,2025-09-06 03:24:41,2025-11-12 17:23:58,EORD2063,support_agent_2
TICK001019,CUST1079,Quality Complaint,Refund not processed.,RESOLVED,MEDIUM,2025-11-19 09:32:58,2025-11-18 03:58:44,EORD2024,support_agent_2
TICK001020,CUST1052,Delivery Delay,Delivery was delayed.,IN_PROGRESS,MEDIUM,2025-09-08 13:04:06,2025-11-14 17:15:38,EORD2071,support_agent_1
TICK001021,CUST1019,Quality Complaint,Delivery was delayed.,OPEN,MEDIUM,2025-10-30 23:33:29,2025-11-21 20:21:37,EORD2025,support_agent_2
TICK001022,CUST1056,Delivery Delay,Delivery was delayed.,IN_PROGRESS,LOW,2025-10-05 11:00:43,2025-11-19 18:38:54,EORD2073,ops_manager
TICK001023,CUST1066,Order Issue,Quality not satisfactory.,CLOSED,MEDIUM,2025-09-29 17:26:04,2025-11-19 16:02:37,EORD2092,support_agent_2
TICK001024,CUST1054,Order Issue,Quality not satisfactory.,OPEN,MEDIUM,2025-08-12 18:39:09,2025-11-26 17:53:05,EORD2027,support_agent_2
TICK001025,CUST1024,Order Issue,Item received damaged.,CLOSED,HIGH,2025-10-06 05:41:33,2025-11-18 02:20:31,EORD2045,ops_manager
TICK001026,CUST1043,Order Issue,Refund not processed.,OPEN,LOW,2025-09-24 03:17:33,2025-11-28 15:54:25,EORD2052,ops_manager
TICK001027,CUST1035,Delivery Delay,Quality not satisfactory.,CLOSED,HIGH,2025-11-12 22:23:03,2025-11-18 17:15:41,EORD2017,ops_manager
TICK001028,CUST1057,Quality Complaint,Quality not satisfactory.,OPEN,MEDIUM,2025-11-29 00:59:23,2025-11-27 09:04:11,EORD2044,support_agent_2
TICK001029,CUST1054,Quality Complaint,Item received damaged.,RESOLVED,LOW,2025-08-12 22:28:54,2025-11-21 04:46:45,EORD2068,support_agent_1
TICK001030,CUST1021,Quality Complaint,Item received damaged.,IN_PROGRESS,LOW,2025-11-23 19:42:22,2025-11-04 20:30:37,EORD2023,ops_manager
TICK001031,CUST1088,Refund Query,Quality not satisfactory.,IN_PROGRESS,HIGH,2025-10-02 19:37:26,2025-11-14 01:53:04,EORD2099,support_agent_1
TICK001032,CUST1023,Quality Complaint,Item received damaged.,RESOLVED,HIGH,2025-11-24 22:41:10,2025-11-29 01:08:07,EORD2086,support_agent_1
TICK001033,CUST1007,Quality Complaint,Item received damaged.,IN_PROGRESS,HIGH,2025-11-04 15:49:19,2025-11-27 09:58:25,EORD2061,ops_manager
TICK001034,CUST1011,Order Issue,Delivery was delayed.,OPEN,MEDIUM,2025-11-14 22:59:54,2025-11-28 14:54:43,EORD2061,support_agent_2
TICK001035,CUST1005,Order Issue,Item received damaged.,CLOSED,LOW,2025-11-30 02:23:07,2025-11-30 11:55:32,EORD2018,support_agent_2
TICK001036,CUST1085,Delivery Delay,Item received damaged.,IN_PROGRESS,HIGH,2025-11-24 15:33:01,2025-11-16 10:07:37,EORD2024,ops_manager
TICK001037,CUST1063,Refund Query,Refund not processed.,RESOLVED,HIGH,2025-11-18 04:28:50,2025-11-17 04:42:08,EORD2082,support_agent_1
TICK001038,CUST1072,Refund Query,Quality not satisfactory.,OPEN,HIGH,2025-09-27 18:35:00,2025-11-02 11:11:14,EORD2026,support_agent_1
TICK001039,CUST1058,Quality Complaint,Item received damaged.,RESOLVED,MEDIUM,2025-10-20 05:34:00,2025-11-04 07:04:57,EORD2018,support_agent_2
TICK001040,CUST1090,Order Issue,Item received damaged.,IN_PROGRESS,LOW,2025-09-01 18:36:09,2025-11-21 06:09:04,EORD2034,ops_manager
TICK001041,CUST1086,Quality Complaint,Refund not processed.,RESOLVED,LOW,2025-11-24 23:53:46,2025-11-04 02:37:05,EORD2062,support_agent_2
