vendor_id,vendor_name,vendor_category,phone,email,billing_address,gst_no,pan_no,city,status,created_at
ECOMV3001,Sanghvi and Sons,Courier,+91 9619993980,sanghviandsons@ecomvendor.in,"H.No. 09, Warrior Zila, Jamalpur 563640",247424308131116,PNSCK2415J,Nadiad,INACTIVE,2025-12-02 11:03:52
ECOMV3002,"Raval, Sami and Gour",Influencer,+91 7855227635,"raval,samiandgour@ecomvendor.in","H.No. 855, Khanna Chowk, Chittoor 775766",245842559266653,GBVZT7574M,Anand,ACTIVE,2025-12-02 11:03:52
ECOMV3003,Kashyap Inc,Ad Agency,+91 9441158545,kashyapinc@ecomvendor.in,"H.No. 042, Dash Nagar, Bhalswa Jahangir Pur 538682",248967066692896,CMAZB7965F,Bharuch,INACTIVE,2025-12-02 11:03:52
ECOMV3004,"Bali, Dyal and Rastogi",Ad Agency,+91 9815777409,"bali,dyalandrastogi@ecomvendor.in","H.No. 786, Wagle Zila, Mahbubnagar-085347",249216331325858,WYNNX9714X,Navsari,INACTIVE,2025-12-02 11:03:52
ECOMV3005,Dugar-Balasubramanian,Tech,+91 7157238142,dugar-balasubramanian@ecomvendor.in,"14/44, Singh Ganj, Parbhani-926626",242832285004388,MFKRF4964M,Rajkot,INACTIVE,2025-12-02 11:03:52
ECOMV3006,Raju LLC,Marketing,+91 8142220920,rajullc@ecomvendor.in,"38/334, Roy, Vijayawada 529927",242764486276134,TRQJK4386Y,Rajkot,ACTIVE,2025-12-02 11:03:52
ECOMV3007,Keer-Sane,Courier,+91 8633769328,keer-sane@ecomvendor.in,"589, Thaker, Kochi-001311",246522552536004,DCZCD6239R,Bharuch,ACTIVE,2025-12-02 11:03:52
ECOMV3008,Tara Ltd,Tech,+91 8481844530,taraltd@ecomvendor.in,"H.No. 879, Salvi Chowk, Aurangabad-090772",249808171626115,GMJNP5553M,Bharuch,ACTIVE,2025-12-02 11:03:52
ECOMV3009,Malhotra-Dixit,Tech,+91 9250578045,malhotra-dixit@ecomvendor.in,"06/25, Master Nagar, Alappuzha 605068",240073535282269,RAWOE1887K,Bharuch,ACTIVE,2025-12-02 11:03:52
ECOMV3010,"Arya, Suri and Yadav",Influencer,+91 7869770271,"arya,suriandyadav@ecomvendor.in","52/889, Chaudhary Chowk, Karaikudi-070419",240591052619632,OGPFK7358D,Gandhinagar,INACTIVE,2025-12-02 11:03:52
ECOMV3011,Chadha LLC,Marketing,+91 8173735906,chadhallc@ecomvendor.in,"17/723, Mane Chowk, Berhampur 905330",249422715872640,MTXNA6996T,Ahmedabad,INACTIVE,2025-12-02 11:03:52
ECOMV3012,Sandal PLC,Ad Agency,+91 8348884063,sandalplc@ecomvendor.in,"H.No. 864, Anne Chowk, Dehri-502313",245893326325176,BVOSW6548P,Navsari,ACTIVE,2025-12-02 11:03:52
ECOMV3013,Shroff-Som,Marketing,+91 8731233157,shroff-som@ecomvendor.in,"15, Gola Marg, Bellary 150074",247241723408379,ULRNR8017V,Nadiad,INACTIVE,2025-12-02 11:03:52
