order_item_id,order_id,sku,product_name,variant_id,qty_units,qty_kg,unit_price,line_total,tax_amount,discount_amount,batch_id,picked_at,created_at
EOL3001,EORDR5001,COW005,Cucumber - Slicing (1kg),COW005-VAR,15,15,24,360,18.0,0,BATCH4627,2025-11-22 06:54:19,2025-10-21 09:32:45
EOL3002,EORDR5002,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,18,18,28,504,25.2,0,BATCH3376,2025-11-20 03:27:19,2025-11-30 10:30:56
EOL3003,EORDR5003,TOM001,Tomato - Local (1kg),TOM001-VAR,12,12,32,384,19.2,0,BATCH4467,2025-11-19 09:37:08,2025-11-29 19:26:51
EOL3004,EORDR5004,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,20,20,28,560,28.0,0,BATCH5220,2025-11-03 07:01:30,2025-10-14 14:21:37
EOL3005,EORDR5005,POT002,Potato - Jyoti (1kg),POT002-VAR,3,3,22,66,3.3,0,BATCH7132,2025-11-09 06:12:43,2025-10-12 05:15:46
EOL3006,EORDR5006,CAR004,Carrot - Orange (1kg),CAR004-VAR,9,9,48,432,21.6,0,BATCH7685,2025-11-12 23:04:07,2025-11-07 18:32:39
EOL3007,EORDR5007,APP009,Apple - Kinnaur (1kg),APP009-VAR,1,1,180,180,9.0,0,BATCH3745,2025-11-18 13:05:16,2025-10-21 17:58:13
EOL3008,EORDR5008,ONI003,Onion - Red Nashik (1kg),ONI003-VAR,19,19,28,532,26.6,0,BATCH3108,2025-11-04 22:08:33,2025-10-14 21:08:22
EOL3009,EORDR5009,COW005,Cucumber - Slicing (1kg),COW005-VAR,3,3,24,72,3.6,0,BATCH6201,2025-11-10 06:17:57,2025-11-05 05:37:28
EOL3010,EORDR5010,CAR004,Carrot - Orange (1kg),CAR004-VAR,6,6,48,288,14.4,0,BATCH5921,2025-11-13 04:08:58,2025-10-27 22:07:19
