adjustment_id,pos_sku,store_id,adjustment_ts,qty_change,reason,adjusted_by,approval_by,inventory_before,inventory_after,created_at
PAD3000,GUR010_001,STORE_SUR_001,2025-11-14 00:48:48,-3,Damage,PU1003,PU1002,283,280,2025-11-19 04:05:27
PAD3001,GUR010_001,STORE_SUR_001,2025-11-22 11:57:49,8,Shrinkage,PU1003,PU1001,392,400,2025-11-09 08:48:23
PAD3002,CAR004_001,STORE_AHD_001,2025-11-11 13:39:19,-9,Damage,PU1003,PU1003,41,32,2025-11-30 14:39:10
PAD3003,APP009_001,STORE_VDR_001,2025-11-18 13:53:52,-6,Stock Count Correction,PU1001,PU1003,100,94,2025-11-03 16:34:39
PAD3004,APP009_001,STORE_SUR_001,2025-11-10 18:08:49,-9,Stock Count Correction,PU1003,PU1001,455,446,2025-11-05 22:46:54
PAD3005,ONI003_001,STORE_VDR_001,2025-11-06 03:37:57,-7,Stock Count Correction,PU1002,PU1001,173,166,2025-11-08 06:13:18
PAD3006,BTR006_001,STORE_SUR_001,2025-11-27 02:19:46,-8,Shrinkage,PU1003,PU1002,301,293,2025-11-25 07:00:21
PAD3007,TOM001_001,STORE_SUR_001,2025-11-02 15:49:10,6,Stock Count Correction,PU1002,PU1003,106,112,2025-11-04 13:00:18
PAD3008,APP009_001,STORE_AHD_001,2025-11-02 14:22:05,9,Damage,PU1003,PU1002,441,450,2025-11-04 08:16:11
PAD3009,APP009_001,STORE_RJT_001,2025-11-28 11:53:31,-1,Shrinkage,PU1002,PU1003,418,417,2025-11-09 04:40:49
PAD3010,CAR004_001,STORE_RJT_001,2025-11-11 01:51:31,6,Damage,PU1001,PU1001,401,407,2025-11-08 14:29:39
PAD3011,POT002_001,STORE_AHD_001,2025-11-05 01:42:41,4,Shrinkage,PU1003,PU1001,21,25,2025-11-19 19:45:49
PAD3012,APP009_001,STORE_RJT_001,2025-11-13 20:16:40,9,Shrinkage,PU1003,PU1003,161,170,2025-11-08 18:29:19
PAD3013,ONI003_001,STORE_RJT_001,2025-11-10 11:54:42,-8,Damage,PU1003,PU1001,129,121,2025-11-04 11:05:48
PAD3014,TOM001_001,STORE_RJT_001,2025-11-28 16:47:49,1,Shrinkage,PU1002,PU1002,316,317,2025-11-30 20:48:44
PAD3015,APP009_001,STORE_SUR_001,2025-11-13 19:24:03,8,Damage,PU1003,PU1003,146,154,2025-11-30 08:29:25
PAD3016,LIM008_001,STORE_RJT_001,2025-11-19 20:14:53,0,Shrinkage,PU1003,PU1003,484,484,2025-11-21 00:21:04
PAD3017,LIM008_001,STORE_AHD_001,2025-11-04 18:59:57,4,Damage,PU1002,PU1002,45,49,2025-11-28 02:03:09
PAD3018,CAR004_001,STORE_VDR_001,2025-11-30 03:06:53,5,Stock Count Correction,PU1003,PU1002,71,76,2025-11-28 01:07:21
PAD3019,COW005_001,STORE_VDR_001,2025-11-03 20:53:19,-10,Stock Count Correction,PU1001,PU1001,342,332,2025-11-16 13:08:44
PAD3020,BRN007_001,STORE_SUR_001,2025-11-23 00:20:12,-2,Stock Count Correction,PU1003,PU1001,263,261,2025-11-20 23:45:30
PAD3021,BTR006_001,STORE_VDR_001,2025-11-05 20:08:57,1,Shrinkage,PU1002,PU1001,41,42,2025-11-24 02:20:17
PAD3022,TOM001_001,STORE_RJT_001,2025-11-08 01:20:15,6,Damage,PU1003,PU1003,35,41,2025-11-03 03:37:55
PAD3023,BTR006_001,STORE_AHD_001,2025-11-06 20:56:12,-3,Stock Count Correction,PU1003,PU1002,105,102,2025-11-16 06:47:14
PAD3024,ONI003_001,STORE_VDR_001,2025-11-25 05:20:36,-6,Damage,PU1002,PU1003,68,62,2025-11-28 10:40:40
PAD3025,GUR010_001,STORE_SUR_001,2025-11-11 04:51:10,-10,Damage,PU1002,PU1002,356,346,2025-11-15 04:38:02
PAD3026,POT002_001,STORE_VDR_001,2025-11-25 00:14:35,10,Shrinkage,PU1002,PU1002,87,97,2025-11-19 12:11:32
