redemption_id,customer_id,pos_txn_id,loyalty_points_used,discount_amount,redeemed_at,store_id,created_by,approval_id,notes
LR4000,CUST1187,POS100079,464,235.32,2025-11-23 08:01:45,STORE_RJT_001,PU1001,APP487,Loyalty redemption
LR4001,CUST1131,POS100076,387,202.0,2025-11-16 22:49:58,STORE_AHD_001,PU1002,APP776,Loyalty redemption
LR4002,CUST1180,POS100077,204,43.02,2025-11-20 22:08:59,STORE_AHD_001,PU1003,APP394,Loyalty redemption
LR4003,CUST1172,POS100074,441,478.23,2025-11-28 11:03:01,STORE_VDR_001,PU1002,APP852,Loyalty redemption
LR4004,CUST1022,POS100027,45,127.09,2025-11-22 13:52:09,STORE_AHD_001,PU1002,APP977,Loyalty redemption
LR4005,CUST1106,POS100079,482,58.89,2025-11-20 19:00:36,STORE_VDR_001,PU1001,APP812,Loyalty redemption
LR4006,CUST1008,POS100024,226,92.12,2025-11-25 01:26:07,STORE_RJT_001,PU1001,APP841,Loyalty redemption
LR4007,CUST1053,POS100064,196,450.83,2025-11-21 15:34:37,STORE_RJT_001,PU1001,APP328,Loyalty redemption
LR4008,CUST1175,POS100055,126,95.55,2025-11-14 17:53:32,STORE_AHD_001,PU1001,APP171,Loyalty redemption
LR4009,CUST1006,POS100082,325,325.76,2025-11-22 09:16:09,STORE_RJT_001,PU1002,APP388,Loyalty redemption
LR4010,CUST1129,POS100037,38,153.85,2025-12-02 04:57:19,STORE_VDR_001,PU1002,APP239,Loyalty redemption
LR4011,CUST1030,POS100041,438,344.9,2025-11-08 05:29:50,STORE_VDR_001,PU1003,APP735,Loyalty redemption
LR4012,CUST1065,POS100086,98,331.74,2025-11-15 21:31:06,STORE_SUR_001,PU1002,APP990,Loyalty redemption
LR4013,CUST1149,POS100032,429,51.35,2025-11-10 10:45:43,STORE_VDR_001,PU1001,APP203,Loyalty redemption
LR4014,CUST1154,POS100028,176,76.05,2025-11-26 21:57:46,STORE_SUR_001,PU1001,APP206,Loyalty redemption
LR4015,CUST1132,POS100002,113,373.03,2025-11-17 04:55:44,STORE_AHD_001,PU1003,APP486,Loyalty redemption
LR4016,CUST1149,POS100086,346,208.8,2025-11-02 19:18:07,STORE_RJT_001,PU1003,APP301,Loyalty redemption
LR4017,CUST1141,POS100001,296,340.69,2025-11-03 05:46:24,STORE_AHD_001,PU1001,APP284,Loyalty redemption
LR4018,CUST1112,POS100018,470,475.05,2025-11-02 15:26:37,STORE_RJT_001,PU1002,APP825,Loyalty redemption
LR4019,CUST1085,POS100060,178,361.54,2025-11-03 01:18:27,STORE_VDR_001,PU1003,APP373,Loyalty redemption
LR4020,CUST1154,POS100093,257,148.05,2025-11-07 17:25:11,STORE_AHD_001,PU1002,APP948,Loyalty redemption
LR4021,CUST1136,POS100091,305,202.15,2025-11-12 16:14:37,STORE_RJT_001,PU1001,APP975,Loyalty redemption
LR4022,CUST1102,POS100002,129,216.87,2025-11-23 22:23:38,STORE_VDR_001,PU1003,APP526,Loyalty redemption
LR4023,CUST1145,POS100095,93,29.43,2025-11-15 04:05:17,STORE_RJT_001,PU1002,APP439,Loyalty redemption
LR4024,CUST1174,POS100092,64,392.29,2025-11-11 16:31:10,STORE_VDR_001,PU1002,APP728,Loyalty redemption
LR4025,CUST1143,POS100045,369,226.54,2025-11-24 02:45:35,STORE_VDR_001,PU1001,APP886,Loyalty redemption
LR4026,CUST1172,POS100029,451,450.21,2025-11-27 04:25:53,STORE_SUR_001,PU1002,APP855,Loyalty redemption
LR4027,CUST1084,POS100047,329,335.01,2025-11-15 13:33:30,STORE_AHD_001,PU1001,APP112,Loyalty redemption
LR4028,CUST1076,POS100081,321,408.21,2025-11-26 03:24:39,STORE_SUR_001,PU1002,APP381,Loyalty redemption
LR4029,CUST1045,POS100079,315,160.9,2025-11-07 03:17:59,STORE_RJT_001,PU1003,APP154,Loyalty redemption
LR4030,CUST1149,POS100074,400,379.13,2025-11-03 05:39:05,STORE_RJT_001,PU1001,APP169,Loyalty redemption
LR4031,CUST1053,POS100077,249,294.84,2025-11-25 10:37:54,STORE_VDR_001,PU1001,APP644,Loyalty redemption
LR4032,CUST1192,POS100050,338,65.28,2025-11-14 01:28:34,STORE_VDR_001,PU1003,APP109,Loyalty redemption
LR4033,CUST1136,POS100026,196,448.82,2025-11-27 01:00:26,STORE_SUR_001,PU1002,APP366,Loyalty redemption
LR4034,CUST1130,POS100080,340,84.65,2025-11-11 01:17:18,STORE_AHD_001,PU1002,APP575,Loyalty redemption
LR4035,CUST1045,POS100076,288,182.24,2025-11-11 15:29:07,STORE_SUR_001,PU1002,APP401,Loyalty redemption
LR4036,CUST1010,POS100085,145,182.28,2025-11-11 03:47:41,STORE_RJT_001,PU1003,APP252,Loyalty redemption
LR4037,CUST1132,POS100021,268,244.27,2025-11-09 13:08:43,STORE_RJT_001,PU1001,APP828,Loyalty redemption
LR4038,CUST1048,POS100056,49,177.26,2025-11-18 04:21:15,STORE_AHD_001,PU1001,APP154,Loyalty redemption
LR4039,CUST1089,POS100078,21,289.34,2025-11-28 17:15:29,STORE_AHD_001,PU1003,APP157,Loyalty redemption
LR4040,CUST1193,POS100065,165,46.92,2025-11-13 05:23:51,STORE_SUR_001,PU1003,APP457,Loyalty redemption
LR4041,CUST1030,POS100036,285,218.79,2025-11-13 05:36:50,STORE_RJT_001,PU1002,APP420,Loyalty redemption
LR4042,CUST1146,POS100017,192,207.8,2025-11-25 17:49:48,STORE_SUR_001,PU1002,APP662,Loyalty redemption
LR4043,CUST1001,POS100060,130,488.01,2025-11-23 03:38:06,STORE_VDR_001,PU1001,APP310,Loyalty redemption
LR4044,CUST1198,POS100007,377,425.01,2025-11-10 09:08:35,STORE_RJT_001,PU1003,APP502,Loyalty redemption
LR4045,CUST1163,POS100065,402,432.97,2025-11-09 06:10:23,STORE_SUR_001,PU1001,APP275,Loyalty redemption
LR4046,CUST1004,POS100062,480,326.62,2025-11-12 13:09:20,STORE_AHD_001,PU1003,APP721,Loyalty redemption
LR4047,CUST1085,POS100024,468,287.85,2025-11-13 19:43:17,STORE_RJT_001,PU1002,APP798,Loyalty redemption
LR4048,CUST1186,POS100034,35,198.18,2025-11-15 10:28:16,STORE_AHD_001,PU1003,APP903,Loyalty redemption
LR4049,CUST1146,POS100046,422,430.17,2025-11-18 09:27:41,STORE_VDR_001,PU1001,APP740,Loyalty redemption
