date,store_id,total_bills,total_qty_kg,gross_sales,discount_amount,tax_amount,net_sales,created_at,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
2024-01-01,STORE_AHD_001,121,167.87,5847.08,115.75,286.57,5731.33,2025-12-02 10:42:54,,,gs,21644394.229999986
2024-01-01,STORE_SUR_002,57,436.68,14643.62,669.03,698.73,13974.59,2025-12-02 10:42:54,,,da,925213.4299999998
2024-01-01,STORE_VDR_003,51,373.91,7715.88,106.08,380.49,7609.8,2025-12-02 10:42:54,,,ta,1063579.9099999997
2024-01-02,STORE_AHD_001,69,337.3,6925.01,124.33,340.03,6800.68,2025-12-02 10:42:54,,,ns,20719180.79999999
2024-01-02,STORE_SUR_002,123,421.57,11968.54,334.74,581.69,11633.800000000001,2025-12-02 10:42:54,,,,
2024-01-02,STORE_VDR_003,75,468.06,9422.04,397.92,451.21,9024.12,2025-12-02 10:42:54,,,,
2024-01-03,STORE_AHD_001,129,301.72,7711.19,143.52,378.38,7567.669999999999,2025-12-02 10:42:54,,,,
2024-01-03,STORE_SUR_002,137,264.74,5785.87,80.24,285.28,5705.63,2025-12-02 10:42:54,,,,
2024-01-03,STORE_VDR_003,148,267.9,6775.3,79.53,334.79,6695.77,2025-12-02 10:42:54,,,,
2024-01-04,STORE_AHD_001,98,350.58,13834.7,347.82,674.34,13486.880000000001,2025-12-02 10:42:54,,,,
2024-01-04,STORE_SUR_002,110,246.07,8015.19,364.03,382.56,7651.16,2025-12-02 10:42:54,,,,
2024-01-04,STORE_VDR_003,86,368.26,12554.51,148.56,620.3,12405.95,2025-12-02 10:42:54,,,,
2024-01-05,STORE_AHD_001,69,452.42,17963.08,794.2,858.44,17168.88,2025-12-02 10:42:54,,,,
2024-01-05,STORE_SUR_002,150,163.43,4177.18,147.99,201.46,4029.1900000000005,2025-12-02 10:42:54,,,,
2024-01-05,STORE_VDR_003,86,189.94,5148.4,189.5,247.94,4958.9,2025-12-02 10:42:54,,,,
2024-01-06,STORE_AHD_001,129,522.76,17230.54,592.13,831.92,16638.41,2025-12-02 10:42:54,,,,
2024-01-06,STORE_SUR_002,61,349.68,8705.71,248.03,422.88,8457.679999999998,2025-12-02 10:42:54,,,,
2024-01-06,STORE_VDR_003,74,545.5,17892.4,577.53,865.74,17314.870000000003,2025-12-02 10:42:54,,,,
2024-01-07,STORE_AHD_001,127,259.44,9175.43,112.28,453.16,9063.15,2025-12-02 10:42:54,,,,
2024-01-07,STORE_SUR_002,145,133.8,3520.15,72.9,172.36,3447.25,2025-12-02 10:42:54,,,,
2024-01-07,STORE_VDR_003,67,512.65,16068.3,622.11,772.31,15446.189999999999,2025-12-02 10:42:54,,,,
2024-01-08,STORE_AHD_001,67,401.84,11216.41,522.48,534.7,10693.93,2025-12-02 10:42:54,,,,
2024-01-08,STORE_SUR_002,98,181.43,4135.26,164.58,198.53,3970.6800000000003,2025-12-02 10:42:54,,,,
2024-01-08,STORE_VDR_003,108,232.98,7383.54,339.0,352.23,7044.54,2025-12-02 10:42:54,,,,
2024-01-09,STORE_AHD_001,91,275.66,11011.66,171.05,542.03,10840.61,2025-12-02 10:42:54,,,,
2024-01-09,STORE_SUR_002,103,159.09,3331.71,47.93,164.19,3283.78,2025-12-02 10:42:54,,,,
2024-01-09,STORE_VDR_003,120,188.79,6345.16,214.82,306.52,6130.34,2025-12-02 10:42:54,,,,
2024-01-10,STORE_AHD_001,89,284.1,11341.96,353.47,549.42,10988.49,2025-12-02 10:42:54,,,,
2024-01-10,STORE_SUR_002,110,490.14,9915.35,385.0,476.52,9530.35,2025-12-02 10:42:54,,,,
2024-01-10,STORE_VDR_003,127,500.46,17524.89,714.03,840.54,16810.86,2025-12-02 10:42:54,,,,
2024-01-11,STORE_AHD_001,83,167.97,4819.95,135.68,234.21,4684.2699999999995,2025-12-02 10:42:54,,,,
2024-01-11,STORE_SUR_002,132,496.62,12548.49,376.75,608.59,12171.74,2025-12-02 10:42:54,,,,
2024-01-11,STORE_VDR_003,62,338.3,7485.98,262.1,361.19,7223.879999999999,2025-12-02 10:42:54,,,,
2024-01-12,STORE_AHD_001,147,394.75,12702.82,204.69,624.91,12498.13,2025-12-02 10:42:54,,,,
2024-01-12,STORE_SUR_002,137,189.47,7402.59,347.16,352.77,7055.43,2025-12-02 10:42:54,,,,
2024-01-12,STORE_VDR_003,40,377.55,11240.46,162.7,553.89,11077.759999999998,2025-12-02 10:42:54,,,,
2024-01-13,STORE_AHD_001,86,497.85,18237.89,406.72,891.56,17831.17,2025-12-02 10:42:54,,,,
2024-01-13,STORE_SUR_002,47,223.57,7008.28,92.16,345.81,6916.12,2025-12-02 10:42:54,,,,
2024-01-13,STORE_VDR_003,133,328.98,7034.99,284.38,337.53,6750.61,2025-12-02 10:42:54,,,,
2024-01-14,STORE_AHD_001,138,174.08,5778.59,276.64,275.1,5501.95,2025-12-02 10:42:54,,,,
2024-01-14,STORE_SUR_002,61,233.97,8761.86,235.92,426.3,8525.94,2025-12-02 10:42:54,,,,
2024-01-14,STORE_VDR_003,67,519.43,18234.75,685.53,877.46,17549.22,2025-12-02 10:42:54,,,,
2024-01-15,STORE_AHD_001,131,254.04,10136.95,364.88,488.6,9772.070000000002,2025-12-02 10:42:54,,,,
2024-01-15,STORE_SUR_002,96,506.83,14713.13,293.03,721.0,14420.099999999999,2025-12-02 10:42:54,,,,
2024-01-15,STORE_VDR_003,48,265.38,8430.11,161.9,413.41,8268.210000000001,2025-12-02 10:42:54,,,,
2024-01-16,STORE_AHD_001,68,123.09,4204.36,51.94,207.62,4152.42,2025-12-02 10:42:54,,,,
2024-01-16,STORE_SUR_002,48,509.33,18943.36,243.12,935.01,18700.24,2025-12-02 10:42:54,,,,
2024-01-16,STORE_VDR_003,70,239.75,7122.56,224.85,344.89,6897.71,2025-12-02 10:42:54,,,,
2024-01-17,STORE_AHD_001,132,522.27,16410.17,474.37,796.79,15935.799999999997,2025-12-02 10:42:54,,,,
2024-01-17,STORE_SUR_002,140,323.38,9100.3,125.34,448.75,8974.96,2025-12-02 10:42:54,,,,
2024-01-17,STORE_VDR_003,124,305.35,8693.79,249.35,422.22,8444.44,2025-12-02 10:42:54,,,,
2024-01-18,STORE_AHD_001,133,143.29,4738.47,169.86,228.43,4568.610000000001,2025-12-02 10:42:54,,,,
2024-01-18,STORE_SUR_002,47,293.13,7851.8,349.15,375.13,7502.650000000001,2025-12-02 10:42:54,,,,
2024-01-18,STORE_VDR_003,71,202.38,6218.27,97.05,306.06,6121.22,2025-12-02 10:42:54,,,,
2024-01-19,STORE_AHD_001,63,239.77,5993.32,281.27,285.6,5712.049999999999,2025-12-02 10:42:54,,,,
