year,month,store_id,total_bills,total_qty_kg,gross_sales,discount_amount,tax_amount,net_sales,created_at
2024,1,STORE_AHD_01,3043,10333.7,318625.79,9698.63,15446.33,324373.49,2025-12-02 10:42:54
2024,1,STORE_SUR_02,2975,9563.53,285809.36,7499.9,13915.48,292224.94,2025-12-02 10:42:54
2024,1,STORE_VAD_03,2701,11140.06,323799.5,10970.77,15641.44,328470.17,2025-12-02 10:42:54
2024,2,STORE_AHD_01,2560,8759.48,272993.2,7931.02,13253.11,278315.29,2025-12-02 10:42:54
2024,2,STORE_SUR_02,2934,9521.41,288773.7,8669.17,14005.23,294109.76,2025-12-02 10:42:54
2024,2,STORE_VAD_03,3015,10484.99,331566.16,8703.97,16143.09,339005.28,2025-12-02 10:42:54
2024,3,STORE_AHD_01,3182,10902.11,335457.64,10396.54,16253.07,341314.17,2025-12-02 10:42:54
2024,3,STORE_SUR_02,3023,9162.92,286808.26,8934.39,13893.71,291767.58,2025-12-02 10:42:54
2024,3,STORE_VAD_03,3011,11151.62,339978.0,10737.99,16461.99,345702.0,2025-12-02 10:42:54
2024,4,STORE_AHD_01,3105,9392.06,257729.75,7262.59,12523.37,262990.53,2025-12-02 10:42:54
2024,4,STORE_SUR_02,2997,10213.47,302878.7,8512.76,14718.29,309084.23,2025-12-02 10:42:54
2024,4,STORE_VAD_03,2986,9368.19,287991.2,9582.97,13920.39,292328.62,2025-12-02 10:42:54
2024,5,STORE_AHD_01,3162,10262.52,311669.28,8832.18,15141.88,317978.98,2025-12-02 10:42:54
2024,5,STORE_SUR_02,2903,10241.01,303707.56,9390.41,14715.84,309032.99,2025-12-02 10:42:54
2024,5,STORE_VAD_03,2931,10499.86,309732.93,8773.99,15047.96,316006.9,2025-12-02 10:42:54
2024,6,STORE_AHD_01,2976,9963.79,280909.64,9087.99,13591.1,285412.75,2025-12-02 10:42:54
2024,6,STORE_SUR_02,2805,11513.41,343588.62,10500.19,16654.43,349742.86,2025-12-02 10:42:54
2024,6,STORE_VAD_03,2892,9507.44,287706.39,10435.51,13863.53,291134.41,2025-12-02 10:42:54
2024,7,STORE_AHD_01,3131,10906.8,335142.37,9770.8,16268.56,341640.13,2025-12-02 10:42:54
2024,7,STORE_SUR_02,2986,10238.64,294719.94,8789.34,14296.53,300227.13,2025-12-02 10:42:54
2024,7,STORE_VAD_03,2902,10950.7,332416.03,10611.82,16090.2,337894.41,2025-12-02 10:42:54
2024,8,STORE_AHD_01,3097,11329.16,335158.42,10206.96,16247.59,341199.05,2025-12-02 10:42:54
2024,8,STORE_SUR_02,2879,10917.44,332650.17,10326.29,16116.19,338440.07,2025-12-02 10:42:54
2024,8,STORE_VAD_03,3048,10171.79,302341.23,8657.82,14684.18,308367.59,2025-12-02 10:42:54
2024,9,STORE_AHD_01,2890,9412.02,276817.7,7360.07,13472.87,282930.5,2025-12-02 10:42:54
2024,9,STORE_SUR_02,2609,8748.17,254312.9,7788.96,12326.22,258850.16,2025-12-02 10:42:54
2024,9,STORE_VAD_03,3105,9950.02,281139.55,8512.1,13631.39,286258.84,2025-12-02 10:42:54
2024,10,STORE_AHD_01,2738,11177.14,332617.48,10486.75,16106.52,338237.25,2025-12-02 10:42:54
2024,10,STORE_SUR_02,3037,10090.22,320115.72,10628.72,15474.37,324961.37,2025-12-02 10:42:54
2024,10,STORE_VAD_03,2887,10682.24,330862.56,10072.08,16039.54,336830.02,2025-12-02 10:42:54
2024,11,STORE_AHD_01,3095,10187.41,317048.86,9509.29,15377.0,322916.57,2025-12-02 10:42:54
2024,11,STORE_SUR_02,3129,8968.98,269639.66,8251.85,13069.39,274457.2,2025-12-02 10:42:54
2024,11,STORE_VAD_03,2870,10502.77,318535.0,9567.75,15448.38,324415.63,2025-12-02 10:42:54
2024,12,STORE_AHD_01,3146,10626.99,339466.53,11141.15,16416.26,344741.64,2025-12-02 10:42:54
2024,12,STORE_SUR_02,3141,11870.37,339768.87,10675.55,16454.68,345548.0,2025-12-02 10:42:54
2024,12,STORE_VAD_03,3432,10670.65,309106.7,9390.28,14985.82,314702.24,2025-12-02 10:42:54
