pos_line_id,pos_txn_id,sku,qty,unit_price,line_total,discount_amt,tax_amt,variant_info,expiry_date,batch_id,created_at
2000,POS100000,LIM008,8,20,160,0,8.0,,,BATCH3979,2025-11-08 21:21:45
2001,POS100000,COW005,6,24,144,0,7.2,,,BATCH4416,2025-11-08 21:21:45
2002,POS100001,BRN007,1,30,30,0,1.5,,,BATCH7869,2025-11-15 03:56:13
2003,POS100001,CAR004,3,48,144,0,7.2,,,BATCH2341,2025-11-15 03:56:13
2004,POS100001,ONI003,5,28,140,0,7.0,,,BATCH4805,2025-11-15 03:56:13
2005,POS100002,BRN007,7,30,210,0,10.5,,,BATCH6232,2025-11-21 03:06:11
2006,POS100003,COW005,10,24,240,0,12.0,,,BATCH9722,2025-11-20 13:22:17
2007,POS100003,BRN007,3,30,90,0,4.5,,,BATCH5654,2025-11-20 13:22:17
2008,POS100004,GUR010,1,60,60,0,3.0,,,BATCH9519,2025-11-18 15:41:23
2009,POS100004,ONI003,10,28,280,0,14.0,,,BATCH9710,2025-11-18 15:41:23
2010,POS100004,BRN007,10,30,300,0,15.0,,,BATCH3682,2025-11-18 15:41:23
2011,POS100004,APP009,7,180,1260,0,63.0,,,BATCH8202,2025-11-18 15:41:23
2012,POS100005,BRN007,8,30,240,0,12.0,,,BATCH8170,2025-11-09 21:11:29
2013,POS100006,BTR006,10,70,700,0,35.0,,,BATCH1929,2025-12-01 13:53:28
2014,POS100006,BTR006,2,70,140,0,7.0,,,BATCH8965,2025-12-01 13:53:28
2015,POS100006,POT002,2,22,44,0,2.2,,,BATCH3852,2025-12-01 13:53:28
2016,POS100006,TOM001,1,32,32,0,1.6,,,BATCH6060,2025-12-01 13:53:28
2017,POS100007,LIM008,4,20,80,0,4.0,,,BATCH4639,2025-11-19 22:30:07
2018,POS100008,ONI003,4,28,112,0,5.6,,,BATCH4504,2025-11-26 00:09:53
2019,POS100008,ONI003,8,28,224,0,11.2,,,BATCH1236,2025-11-26 00:09:53
2020,POS100008,CAR004,2,48,96,0,4.8,,,BATCH2142,2025-11-26 00:09:53
2021,POS100008,GUR010,2,60,120,0,6.0,,,BATCH2547,2025-11-26 00:09:53
2022,POS100009,BRN007,8,30,240,0,12.0,,,BATCH7611,2025-11-29 15:26:59
2023,POS100009,GUR010,4,60,240,0,12.0,,,BATCH8382,2025-11-29 15:26:59
2024,POS100009,GUR010,2,60,120,0,6.0,,,BATCH9489,2025-11-29 15:26:59
2025,POS100009,TOM001,9,32,288,0,14.4,,,BATCH9850,2025-11-29 15:26:59
2026,POS100010,LIM008,8,20,160,0,8.0,,,BATCH2819,2025-11-24 08:34:29
2027,POS100011,ONI003,4,28,112,0,5.6,,,BATCH7305,2025-11-11 21:31:09
2028,POS100012,BRN007,4,30,120,0,6.0,,,BATCH5951,2025-11-17 19:05:22
2029,POS100012,TOM001,7,32,224,0,11.2,,,BATCH7013,2025-11-17 19:05:22
2030,POS100012,CAR004,9,48,432,0,21.6,,,BATCH5103,2025-11-17 19:05:22
2031,POS100012,CAR004,2,48,96,0,4.8,,,BATCH4342,2025-11-17 19:05:22
2032,POS100013,BRN007,4,30,120,0,6.0,,,BATCH3103,2025-11-07 23:15:01
2033,POS100013,BTR006,10,70,700,0,35.0,,,BATCH6021,2025-11-07 23:15:01
2034,POS100014,APP009,10,180,1800,0,90.0,,,BATCH5587,2025-11-20 19:35:02
2035,POS100014,GUR010,5,60,300,0,15.0,,,BATCH9801,2025-11-20 19:35:02
2036,POS100014,POT002,8,22,176,0,8.8,,,BATCH8906,2025-11-20 19:35:02
2037,POS100014,ONI003,7,28,196,0,9.8,,,BATCH1778,2025-11-20 19:35:02
2038,POS100015,APP009,2,180,360,0,18.0,,,BATCH7385,2025-11-28 18:12:04
2039,POS100015,POT002,7,22,154,0,7.7,,,BATCH4766,2025-11-28 18:12:04
2040,POS100015,BTR006,1,70,70,0,3.5,,,BATCH8517,2025-11-28 18:12:04
2041,POS100015,ONI003,1,28,28,0,1.4,,,BATCH6831,2025-11-28 18:12:04
2042,POS100016,BRN007,10,30,300,0,15.0,,,BATCH6180,2025-11-13 23:25:02
2043,POS100016,LIM008,1,20,20,0,1.0,,,BATCH6802,2025-11-13 23:25:02
2044,POS100016,CAR004,10,48,480,0,24.0,,,BATCH8500,2025-11-13 23:25:02
2045,POS100017,BTR006,5,70,350,0,17.5,,,BATCH9969,2025-11-09 04:10:42
2046,POS100017,ONI003,8,28,224,0,11.2,,,BATCH8396,2025-11-09 04:10:42
2047,POS100017,TOM001,8,32,256,0,12.8,,,BATCH7022,2025-11-09 04:10:42
2048,POS100018,BTR006,4,70,280,0,14.0,,,BATCH7806,2025-11-02 16:11:11
2049,POS100018,BRN007,2,30,60,0,3.0,,,BATCH3456,2025-11-02 16:11:11
2050,POS100018,ONI003,9,28,252,0,12.6,,,BATCH1758,2025-11-02 16:11:11
2051,POS100019,CAR004,4,48,192,0,9.6,,,BATCH1018,2025-11-11 03:09:58
2052,POS100020,BRN007,6,30,180,0,9.0,,,BATCH7417,2025-11-10 02:56:20
