pos_txn_id,terminal_id,pos_user_id,txn_ts,txn_type,txn_total,tax_total,discount_total,payment_mode,external_txn_ref,shift_id,cashier_note,status,created_at,synced_flag
POS100000,TERM-001-1,PU1001,2025-11-08 21:21:45,SALE,319.2,15.2,0,UPI,EXT860628,SHIFT3,,COMPLETED,2025-11-08 21:21:45,True
POS100001,TERM-001-1,PU1003,2025-11-15 03:56:13,SALE,329.7,15.7,0,UPI,EXT544902,SHIFT2,,COMPLETED,2025-11-15 03:56:13,True
POS100002,TERM-001-2,PU1001,2025-11-21 03:06:11,SALE,220.5,10.5,0,CASH,EXT353082,SHIFT1,,COMPLETED,2025-11-21 03:06:11,True
POS100003,TERM-001-2,PU1003,2025-11-20 13:22:17,SALE,346.5,16.5,0,CASH,EXT997874,SHIFT1,,COMPLETED,2025-11-20 13:22:17,True
POS100004,TERM-001-2,PU1003,2025-11-18 15:41:23,SALE,1995.0,95.0,0,CASH,EXT489809,SHIFT1,,COMPLETED,2025-11-18 15:41:23,True
POS100005,TERM-001-3,PU1003,2025-11-09 21:11:29,SALE,252.0,12.0,0,CASH,EXT434508,SHIFT3,,COMPLETED,2025-11-09 21:11:29,True
POS100006,TERM-001-3,PU1001,2025-12-01 13:53:28,SALE,961.8,45.8,0,CASH,EXT650580,SHIFT1,,COMPLETED,2025-12-01 13:53:28,True
POS100007,TERM-001-4,PU1002,2025-11-19 22:30:07,SALE,84.0,4.0,0,UPI,EXT881342,SHIFT2,,COMPLETED,2025-11-19 22:30:07,True
POS100008,TERM-001-2,PU1003,2025-11-26 00:09:53,SALE,579.6,27.6,0,UPI,EXT694383,SHIFT2,,COMPLETED,2025-11-26 00:09:53,True
POS100009,TERM-001-3,PU1001,2025-11-29 15:26:59,SALE,932.4,44.4,0,CARD,EXT485854,SHIFT2,,COMPLETED,2025-11-29 15:26:59,True
POS100010,TERM-001-4,PU1003,2025-11-24 08:34:29,SALE,168.0,8.0,0,UPI,EXT361327,SHIFT4,,COMPLETED,2025-11-24 08:34:29,True
POS100011,TERM-001-4,PU1003,2025-11-11 21:31:09,SALE,117.6,5.6,0,UPI,EXT698018,SHIFT2,,COMPLETED,2025-11-11 21:31:09,True
POS100012,TERM-001-3,PU1001,2025-11-17 19:05:22,SALE,915.6,43.59999999999999,0,UPI,EXT686898,SHIFT1,,COMPLETED,2025-11-17 19:05:22,True
POS100013,TERM-001-2,PU1003,2025-11-07 23:15:01,SALE,861.0,41.0,0,CARD,EXT399700,SHIFT1,,COMPLETED,2025-11-07 23:15:01,True
POS100014,TERM-001-4,PU1002,2025-11-20 19:35:02,SALE,2595.6,123.6,0,CARD,EXT203104,SHIFT1,,COMPLETED,2025-11-20 19:35:02,True
POS100015,TERM-001-3,PU1002,2025-11-28 18:12:04,SALE,642.6,30.6,0,CASH,EXT982444,SHIFT3,,COMPLETED,2025-11-28 18:12:04,True
POS100016,TERM-001-4,PU1001,2025-11-13 23:25:02,SALE,840.0,40.0,0,CASH,EXT463749,SHIFT4,,COMPLETED,2025-11-13 23:25:02,True
POS100017,TERM-001-2,PU1003,2025-11-09 04:10:42,SALE,871.5,41.5,0,CASH,EXT529344,SHIFT4,,COMPLETED,2025-11-09 04:10:42,True
POS100018,TERM-001-3,PU1002,2025-11-02 16:11:11,SALE,621.6,29.6,0,CARD,EXT819385,SHIFT1,,COMPLETED,2025-11-02 16:11:11,True
POS100019,TERM-001-2,PU1002,2025-11-11 03:09:58,SALE,201.6,9.6,0,CASH,EXT453434,SHIFT3,,COMPLETED,2025-11-11 03:09:58,True
POS100020,TERM-001-3,PU1003,2025-11-10 02:56:20,SALE,1113.0,53.0,0,CARD,EXT430852,SHIFT2,,COMPLETED,2025-11-10 02:56:20,True
POS100021,TERM-001-1,PU1001,2025-11-24 21:08:35,SALE,667.8,31.8,0,UPI,EXT149453,SHIFT1,,COMPLETED,2025-11-24 21:08:35,True
POS100022,TERM-001-2,PU1003,2025-11-08 10:25:41,SALE,29.4,1.4,0,CASH,EXT496358,SHIFT4,,COMPLETED,2025-11-08 10:25:41,True
POS100023,TERM-001-1,PU1001,2025-11-06 09:43:53,SALE,945.0,45.0,0,CARD,EXT178506,SHIFT2,,COMPLETED,2025-11-06 09:43:53,True
POS100024,TERM-001-1,PU1002,2025-11-12 19:15:21,SALE,289.8,13.8,0,UPI,EXT525478,SHIFT1,,COMPLETED,2025-11-12 19:15:21,True
POS100025,TERM-001-2,PU1002,2025-11-06 07:37:07,SALE,621.6,29.6,0,CARD,EXT368083,SHIFT3,,COMPLETED,2025-11-06 07:37:07,True
POS100026,TERM-001-3,PU1003,2025-11-26 16:40:20,SALE,592.2,28.2,0,CASH,EXT532280,SHIFT2,,COMPLETED,2025-11-26 16:40:20,True
POS100027,TERM-001-4,PU1003,2025-11-04 20:02:27,SALE,105.0,5.0,0,CASH,EXT649441,SHIFT5,,COMPLETED,2025-11-04 20:02:27,True
POS100028,TERM-001-2,PU1003,2025-11-05 07:18:35,SALE,63.0,3.0,0,CASH,EXT942928,SHIFT1,,COMPLETED,2025-11-05 07:18:35,True
POS100029,TERM-001-4,PU1003,2025-11-09 08:19:00,SALE,842.1,40.1,0,UPI,EXT608965,SHIFT1,,COMPLETED,2025-11-09 08:19:00,True
POS100030,TERM-001-4,PU1001,2025-11-06 09:24:26,SALE,94.5,4.5,0,CASH,EXT329428,SHIFT1,,COMPLETED,2025-11-06 09:24:26,True
