inventory_id,sku,centre_id,qty_units,qty_kg,reserved_stock,available_stock,reorder_point,lead_time_days,safety_stock_kg,expiry_ts,storage_temp_c
INV-TOM001-AHMEDABAD,TOM001,Ahmedabad Collection Centre,1256,1601,36,758,99,1,45,2025-11-04 14:38:13,4
INV-TOM001-SURAT,TOM001,Surat Distribution Centre,1857,1815,77,1664,76,3,56,2025-11-03 10:47:39,10
INV-TOM001-RAJKOT,TOM001,Rajkot Packaging Unit,752,1520,65,777,83,2,99,2025-11-30 04:45:29,4
INV-TOM001-VADODARA,TOM001,Vadodara Cold Storage,1355,661,26,1144,46,2,84,2025-11-30 17:23:25,4
INV-POT002-AHMEDABAD,POT002,Ahmedabad Collection Centre,1018,1586,33,199,65,2,17,2025-11-24 13:48:59,10
INV-POT002-SURAT,POT002,Surat Distribution Centre,438,1527,157,1363,65,3,34,2025-11-16 11:17:29,4
INV-POT002-RAJKOT,POT002,Rajkot Packaging Unit,1182,1061,188,1308,92,1,60,2025-11-30 10:56:39,10
INV-POT002-VADODARA,POT002,Vadodara Cold Storage,1645,643,59,1031,70,3,72,2025-11-16 00:41:40,4
INV-ONI003-AHMEDABAD,ONI003,Ahmedabad Collection Centre,872,906,27,1110,52,3,16,2025-11-07 17:23:13,4
INV-ONI003-SURAT,ONI003,Surat Distribution Centre,1990,247,107,685,62,3,87,2025-11-07 09:28:27,10
INV-ONI003-RAJKOT,ONI003,Rajkot Packaging Unit,1417,73,188,1259,80,3,34,2025-11-23 20:42:58,10
INV-ONI003-VADODARA,ONI003,Vadodara Cold Storage,1656,1217,10,1099,72,3,29,2025-11-07 17:50:20,10
INV-CAR004-AHMEDABAD,CAR004,Ahmedabad Collection Centre,620,1859,62,640,75,1,61,2025-11-20 12:36:22,4
INV-CAR004-SURAT,CAR004,Surat Distribution Centre,1038,1339,2,383,78,3,34,2025-11-30 16:36:23,4
INV-CAR004-RAJKOT,CAR004,Rajkot Packaging Unit,1400,471,91,962,77,3,81,2025-11-05 10:27:22,10
INV-CAR004-VADODARA,CAR004,Vadodara Cold Storage,1684,507,110,1534,26,1,29,2025-11-13 19:09:36,10
INV-COW005-AHMEDABAD,COW005,Ahmedabad Collection Centre,752,555,155,1402,61,3,97,2025-11-22 02:26:33,10
INV-COW005-SURAT,COW005,Surat Distribution Centre,832,1697,101,1601,43,3,26,2025-11-16 18:12:52,10
INV-COW005-RAJKOT,COW005,Rajkot Packaging Unit,1317,225,117,1128,74,3,19,2025-11-26 17:12:03,10
INV-COW005-VADODARA,COW005,Vadodara Cold Storage,583,203,114,1637,49,1,50,2025-11-26 02:40:13,10
INV-BTR006-AHMEDABAD,BTR006,Ahmedabad Collection Centre,1020,1097,141,853,30,3,83,2025-11-14 10:45:55,10
INV-BTR006-SURAT,BTR006,Surat Distribution Centre,92,151,136,314,67,2,20,2025-11-25 06:43:45,10
INV-BTR006-RAJKOT,BTR006,Rajkot Packaging Unit,1513,1305,114,873,35,1,78,2025-11-08 12:18:28,4
INV-BTR006-VADODARA,BTR006,Vadodara Cold Storage,1038,1744,39,747,70,2,42,2025-11-19 02:23:32,4
INV-BRN007-AHMEDABAD,BRN007,Ahmedabad Collection Centre,266,1197,160,1373,61,2,35,2025-12-02 04:40:41,10
INV-BRN007-SURAT,BRN007,Surat Distribution Centre,1206,1966,194,831,59,2,71,2025-11-03 10:37:29,4
INV-BRN007-RAJKOT,BRN007,Rajkot Packaging Unit,402,154,54,1205,58,2,83,2025-11-07 12:49:22,4
INV-BRN007-VADODARA,BRN007,Vadodara Cold Storage,499,1051,29,151,47,1,63,2025-11-09 11:47:41,4
INV-LIM008-AHMEDABAD,LIM008,Ahmedabad Collection Centre,969,1312,156,1062,83,3,94,2025-11-17 17:58:20,10
INV-LIM008-SURAT,LIM008,Surat Distribution Centre,635,1316,28,1687,24,1,16,2025-12-01 15:19:00,4
INV-LIM008-RAJKOT,LIM008,Rajkot Packaging Unit,1139,1686,134,1480,63,3,34,2025-11-30 08:34:05,10
INV-LIM008-VADODARA,LIM008,Vadodara Cold Storage,500,366,151,1793,75,3,70,2025-11-23 02:06:51,10
INV-APP009-AHMEDABAD,APP009,Ahmedabad Collection Centre,1586,1079,143,1295,43,1,26,2025-11-26 23:23:55,4
INV-APP009-SURAT,APP009,Surat Distribution Centre,1215,1512,48,1705,81,3,76,2025-11-15 23:05:34,10
INV-APP009-RAJKOT,APP009,Rajkot Packaging Unit,65,490,179,362,93,2,16,2025-11-27 16:52:23,10
INV-APP009-VADODARA,APP009,Vadodara Cold Storage,556,1991,79,1694,79,2,55,2025-11-12 07:06:07,10
INV-GUR010-AHMEDABAD,GUR010,Ahmedabad Collection Centre,778,179,166,1089,73,3,59,2025-11-15 11:11:45,10
INV-GUR010-SURAT,GUR010,Surat Distribution Centre,1145,348,197,1602,78,2,56,2025-11-13 12:48:28,4
INV-GUR010-RAJKOT,GUR010,Rajkot Packaging Unit,1027,332,127,1364,31,1,47,2025-11-08 23:20:58,10
INV-GUR010-VADODARA,GUR010,Vadodara Cold Storage,1997,328,78,282,95,3,39,2025-11-29 19:14:38,4
