sku,Gross Sales,Discount,Delivery Fee,Tax,Net Sales
TOM001,5220450.85,322685.23,241525.36,258630.47,4656240.26
POT002,3985327.19,238232.56,185213.67,192917.94,3561880.96
ONI003,6075816.44,364549.63,289932.56,308058.64,5421334.25
CAR004,4107632.11,245094.33,197891.18,208311.72,3664646.6
COW005,2928730.2,174666.1,125808.63,142621.07,2628255.47
BTR006,4746920.15,283333.61,221451.92,229083.91,4242134.62
BRN007,3685315.92,220207.52,172582.24,179392.57,3292526.16
LIM008,2762545.76,165074.15,120789.04,136026.79,2476682.57
APP009,3391711.34,203155.66,149481.27,160159.45,3039074.41
GUR010,4244071.28,247070.02,212848.1,173149.42,3784153.16
