return_id,order_id,request_ts,reason_code,requested_items_json,status,approved_by,pickup_scheduled_ts,received_at_centre_ts,refund_amount,credit_note_id,created_at,resolution_notes
RET10001,EORD2089,2025-11-17 04:04:23,WRONG_ITEM,[],APPROVED,quality_head,2025-11-18 04:04:23,2025-11-18 04:04:23,1798.8,CN2682,2025-11-17 04:04:23,
RET10002,EORD2089,2025-11-28 02:42:00,QUALITY,[],APPROVED,,2025-11-29 02:42:00,2025-11-30 02:42:00,547.83,CN9086,2025-11-28 02:42:00,
RET10003,EORD2025,2025-11-12 15:31:22,NOT_AS_DESCRIBED,[],COMPLETED,quality_head,2025-11-13 15:31:22,2025-11-14 15:31:22,1487.75,CN8615,2025-11-12 15:31:22,
RET10004,EORD2050,2025-11-24 12:26:43,NOT_AS_DESCRIBED,[],COMPLETED,,2025-11-25 12:26:43,2025-11-25 12:26:43,1064.68,CN3381,2025-11-24 12:26:43,
RET10005,EORD2059,2025-11-13 20:19:40,WRONG_ITEM,[],COMPLETED,ops_manager,2025-11-14 20:19:40,2025-11-15 20:19:40,99.98,CN8239,2025-11-13 20:19:40,
RET10006,EORD2053,2025-11-09 01:21:33,QUALITY,[],COMPLETED,,2025-11-10 01:21:33,2025-11-09 01:21:33,1639.11,CN4111,2025-11-09 01:21:33,
RET10007,EORD2026,2025-11-13 15:57:50,DAMAGED,[],APPROVED,ops_manager,2025-11-14 15:57:50,2025-11-15 15:57:50,156.83,CN2182,2025-11-13 15:57:50,
RET10008,EORD2036,2025-11-02 13:06:14,NOT_AS_DESCRIBED,[],REJECTED,ops_manager,2025-11-03 13:06:14,2025-11-04 13:06:14,1917.31,CN1957,2025-11-02 13:06:14,
RET10009,EORD2025,2025-11-05 20:52:35,DAMAGED,[],APPROVED,,2025-11-06 20:52:35,2025-11-07 20:52:35,1146.24,CN8340,2025-11-05 20:52:35,
RET10010,EORD2048,2025-11-15 00:47:53,QUALITY,[],REQUESTED,,2025-11-16 00:47:53,2025-11-17 00:47:53,665.59,CN4126,2025-11-15 00:47:53,
RET10011,EORD2068,2025-11-22 08:27:36,QUALITY,[],COMPLETED,ops_manager,2025-11-23 08:27:36,2025-11-24 08:27:36,634.27,CN4293,2025-11-22 08:27:36,
RET10012,EORD2020,2025-11-14 20:46:06,DAMAGED,[],COMPLETED,,2025-11-15 20:46:06,2025-11-14 20:46:06,1290.86,CN6660,2025-11-14 20:46:06,
RET10013,EORD2089,2025-11-22 23:50:09,NOT_AS_DESCRIBED,[],REQUESTED,quality_head,2025-11-23 23:50:09,2025-11-24 23:50:09,1498.66,CN3233,2025-11-22 23:50:09,
RET10014,EORD2008,2025-11-25 20:14:05,WRONG_ITEM,[],APPROVED,quality_head,2025-11-26 20:14:05,2025-11-27 20:14:05,518.17,CN1656,2025-11-25 20:14:05,
RET10015,EORD2093,2025-11-20 01:16:06,QUALITY,[],COMPLETED,quality_head,2025-11-21 01:16:06,2025-11-20 01:16:06,1503.97,CN7769,2025-11-20 01:16:06,
RET10016,EORD2014,2025-11-03 20:36:17,DAMAGED,[],COMPLETED,ops_manager,2025-11-04 20:36:17,2025-11-04 20:36:17,1765.5,CN9238,2025-11-03 20:36:17,
RET10017,EORD2056,2025-11-14 11:51:40,DAMAGED,[],APPROVED,,2025-11-15 11:51:40,2025-11-14 11:51:40,872.9,CN7842,2025-11-14 11:51:40,
RET10018,EORD2004,2025-11-28 03:33:28,DAMAGED,[],COMPLETED,quality_head,2025-11-29 03:33:28,2025-11-30 03:33:28,1763.8,CN7544,2025-11-28 03:33:28,
RET10019,EORD2069,2025-11-05 03:16:07,QUALITY,[],REQUESTED,,2025-11-06 03:16:07,2025-11-06 03:16:07,203.88,CN1088,2025-11-05 03:16:07,
RET10020,EORD2086,2025-12-01 15:26:53,WRONG_ITEM,[],REJECTED,,2025-12-02 15:26:53,2025-12-02 15:26:53,970.83,CN4739,2025-12-01 15:26:53,
RET10021,EORD2022,2025-11-18 06:27:33,QUALITY,[],REJECTED,ops_manager,2025-11-19 06:27:33,2025-11-20 06:27:33,634.15,CN9865,2025-11-18 06:27:33,
RET10022,EORD2064,2025-11-16 17:39:31,QUALITY,[],REJECTED,quality_head,2025-11-17 17:39:31,2025-11-18 17:39:31,1050.24,CN7675,2025-11-16 17:39:31,
RET10023,EORD2090,2025-11-06 12:55:55,WRONG_ITEM,[],REJECTED,,2025-11-07 12:55:55,2025-11-08 12:55:55,1092.94,CN9224,2025-11-06 12:55:55,
RET10024,EORD2038,2025-11-28 16:36:44,WRONG_ITEM,[],COMPLETED,ops_manager,2025-11-29 16:36:44,2025-11-29 16:36:44,915.09,CN8761,2025-11-28 16:36:44,
RET10025,EORD2049,2025-11-17 17:13:31,QUALITY,[],REJECTED,,2025-11-18 17:13:31,2025-11-18 17:13:31,151.96,CN3396,2025-11-17 17:13:31,
RET10026,EORD2071,2025-11-10 10:33:33,NOT_AS_DESCRIBED,[],APPROVED,,2025-11-11 10:33:33,2025-11-12 10:33:33,65.71,CN8301,2025-11-10 10:33:33,
RET10027,EORD2074,2025-11-05 09:40:41,QUALITY,[],REQUESTED,,2025-11-06 09:40:41,2025-11-06 09:40:41,955.25,CN2420,2025-11-05 09:40:41,
RET10028,EORD2076,2025-11-12 16:54:03,NOT_AS_DESCRIBED,[],APPROVED,quality_head,2025-11-13 16:54:03,2025-11-12 16:54:03,693.81,CN6252,2025-11-12 16:54:03,
RET10029,EORD2022,2025-11-30 19:09:41,DAMAGED,[],REQUESTED,ops_manager,2025-12-01 19:09:41,2025-12-02 19:09:41,1510.29,CN2878,2025-11-30 19:09:41,
RET10030,EORD2015,2025-11-26 10:30:13,WRONG_ITEM,[],COMPLETED,,2025-11-27 10:30:13,2025-11-26 10:30:13,383.48,CN4599,2025-11-26 10:30:13,
