shipment_id,order_id,carrier_id,tracking_no,shipment_date,expected_delivery_date,actual_delivery_date,shipment_status,pickup_centre_id,package_weight_kg,package_dimensions_json,shipping_charge,created_at,last_update
SHIP8001,EORDR5001,LocalCourier,TR3207198,2025-11-25 03:06:48,2025-11-28 03:06:48,,IN_TRANSIT,Ahmedabad Collection Centre,12.82,{},31.46,2025-11-25 03:06:48,2025-11-26 22:06:48
SHIP8002,EORDR5002,InHouseFleet,TR9794350,2025-11-22 14:36:03,2025-11-25 14:36:03,,OUT_FOR_DELIVERY,Surat Distribution Centre,26.8,{},130.86,2025-11-22 14:36:03,2025-11-22 23:36:03
SHIP8003,EORDR5003,ThirdPartyLogistics,TR5720865,2025-11-24 00:01:01,2025-11-25 00:01:01,2025-11-25 09:01:01,IN_TRANSIT,Ahmedabad Collection Centre,1.83,{},56.83,2025-11-24 00:01:01,2025-11-24 06:01:01
SHIP8004,EORDR5004,ThirdPartyLogistics,TR3570465,2025-11-24 08:47:42,2025-11-26 08:47:42,2025-11-28 04:47:42,IN_TRANSIT,Ahmedabad Collection Centre,5.84,{},88.22,2025-11-24 08:47:42,2025-11-25 09:47:42
SHIP8005,EORDR5005,LocalCourier,TR1810717,2025-11-30 04:23:53,2025-12-02 04:23:53,2025-12-03 10:23:53,OUT_FOR_DELIVERY,Ahmedabad Collection Centre,4.93,{},70.38,2025-11-30 04:23:53,2025-12-01 01:23:53
SHIP8006,EORDR5006,ThirdPartyLogistics,TR6375078,2025-12-01 06:55:36,2025-12-03 06:55:36,2025-12-03 18:55:36,IN_TRANSIT,Surat Distribution Centre,16.18,{},74.73,2025-12-01 06:55:36,2025-12-02 09:55:36
SHIP8007,EORDR5007,ThirdPartyLogistics,TR4782513,2025-11-28 04:15:49,2025-12-01 04:15:49,,OUT_FOR_DELIVERY,Surat Distribution Centre,26.97,{},114.25,2025-11-28 04:15:49,2025-11-28 21:15:49
SHIP8008,EORDR5008,ThirdPartyLogistics,TR2526637,2025-12-02 03:31:26,2025-12-05 03:31:26,2025-12-06 17:31:26,IN_TRANSIT,Surat Distribution Centre,24.75,{},149.79,2025-12-02 03:31:26,2025-12-03 07:31:26
SHIP8009,EORDR5009,InHouseFleet,TR8228927,2025-11-24 14:08:07,2025-11-25 14:08:07,2025-11-27 13:08:07,OUT_FOR_DELIVERY,Ahmedabad Collection Centre,27.59,{},89.9,2025-11-24 14:08:07,2025-11-24 17:08:07
SHIP8010,EORDR5010,LocalCourier,TR4966665,2025-11-28 07:00:06,2025-12-01 07:00:06,2025-12-02 20:00:06,PICKED,Surat Distribution Centre,10.85,{},88.76,2025-11-28 07:00:06,2025-11-29 17:00:06
SHIP8011,EORDR5011,ThirdPartyLogistics,TR8623386,2025-11-30 19:08:58,2025-12-02 19:08:58,2025-12-03 14:08:58,OUT_FOR_DELIVERY,Surat Distribution Centre,23.94,{},73.15,2025-11-30 19:08:58,2025-12-02 08:08:58
SHIP8012,EORDR5012,ThirdPartyLogistics,TR3317224,2025-11-26 22:14:40,2025-11-27 22:14:40,,OUT_FOR_DELIVERY,Ahmedabad Collection Centre,21.89,{},139.69,2025-11-26 22:14:40,2025-11-28 14:14:40
SHIP8013,EORDR5013,ThirdPartyLogistics,TR9103506,2025-11-24 07:53:00,2025-11-25 07:53:00,2025-11-25 22:53:00,OUT_FOR_DELIVERY,Surat Distribution Centre,0.96,{},80.42,2025-11-24 07:53:00,2025-11-24 12:53:00
SHIP8014,EORDR5014,LocalCourier,TR8868720,2025-11-23 19:11:09,2025-11-24 19:11:09,2025-11-26 01:11:09,PICKED,Ahmedabad Collection Centre,25.1,{},111.92,2025-11-23 19:11:09,2025-11-25 10:11:09
SHIP8015,EORDR5015,InHouseFleet,TR4909654,2025-11-30 17:58:11,2025-12-03 17:58:11,,DELIVERED,Surat Distribution Centre,29.85,{},117.51,2025-11-30 17:58:11,2025-12-01 20:58:11
SHIP8016,EORDR5016,ThirdPartyLogistics,TR7031005,2025-11-26 13:56:46,2025-11-28 13:56:46,,DELIVERED,Surat Distribution Centre,4.16,{},81.24,2025-11-26 13:56:46,2025-11-27 11:56:46
SHIP8017,EORDR5017,ThirdPartyLogistics,TR1399778,2025-11-24 10:44:16,2025-11-26 10:44:16,2025-11-27 04:44:16,IN_TRANSIT,Surat Distribution Centre,22.18,{},91.96,2025-11-24 10:44:16,2025-11-26 00:44:16
SHIP8018,EORDR5018,LocalCourier,TR2645293,2025-11-28 07:41:18,2025-11-30 07:41:18,,OUT_FOR_DELIVERY,Ahmedabad Collection Centre,28.69,{},112.57,2025-11-28 07:41:18,2025-11-29 23:41:18
SHIP8019,EORDR5019,InHouseFleet,TR9061647,2025-12-01 20:34:20,2025-12-03 20:34:20,2025-12-03 23:34:20,PICKED,Surat Distribution Centre,27.99,{},44.59,2025-12-01 20:34:20,2025-12-03 08:34:20
